date,digital_ccy_code,market_code,dt_last_refreshed,time_zone,open,high,low,close,volume,daily_change,intraday_return_pct,daily_return_pct,cumulative_return_pct,intraday_volatility_abs,intraday_volatility_pct,moving_avg_7d,moving_avg_30d
2010-07-17,BTC,USD,2026-05-11,UTC,0.05,0.05,0.05,0.05,0.0,0.0,0.0,,0.0,0.0,0.0,,
2010-07-18,BTC,USD,2026-05-11,UTC,0.09,0.09,0.09,0.09,0.0,0.0,0.0,71.6,71.6,0.0,0.0,,
2010-07-19,BTC,USD,2026-05-11,UTC,0.08,0.08,0.08,0.08,0.0,0.0,0.0,-5.83,61.6,0.0,0.0,,
2010-07-20,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,-7.55,49.4,0.0,0.0,,
2010-07-21,BTC,USD,2026-05-11,UTC,0.08,0.08,0.08,0.08,0.0,0.0,0.0,6.02,58.4,0.0,0.0,,
2010-07-22,BTC,USD,2026-05-11,UTC,0.05,0.05,0.05,0.05,0.0,0.0,0.0,-36.24,1.0,0.0,0.0,,
2010-07-23,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,23.96,25.2,0.0,0.0,0.07,
2010-07-24,BTC,USD,2026-05-11,UTC,0.05,0.05,0.05,0.05,0.0,0.0,0.0,-12.94,9.0,0.0,0.0,0.07,
2010-07-25,BTC,USD,2026-05-11,UTC,0.05,0.05,0.05,0.05,0.0,0.0,0.0,-7.34,1.0,0.0,0.0,0.06,
2010-07-26,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,10.89,12.0,0.0,0.0,0.06,
2010-07-27,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,7.14,20.0,0.0,0.0,0.06,
2010-07-28,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-1.83,17.8,0.0,0.0,0.06,
2010-07-29,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,18.68,39.8,0.0,0.0,0.06,
2010-07-30,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-10.3,25.4,0.0,0.0,0.06,
2010-07-31,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,8.29,35.8,0.0,0.0,0.06,
2010-08-01,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-10.01,22.2,0.0,0.0,0.06,
2010-08-02,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-1.8,20.0,0.0,0.0,0.06,
2010-08-03,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.06,
2010-08-04,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-5.0,14.0,0.0,0.0,0.06,
2010-08-05,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,7.02,22.0,0.0,0.0,0.06,
2010-08-06,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,2.13,24.6,0.0,0.0,0.06,
2010-08-07,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-5.3,18.0,0.0,0.0,0.06,
2010-08-08,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,3.22,21.8,0.0,0.0,0.06,
2010-08-09,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,16.58,42.0,0.0,0.0,0.06,
2010-08-10,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,-1.41,40.0,0.0,0.0,0.06,
2010-08-11,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,-4.29,34.0,0.0,0.0,0.06,
2010-08-12,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,4.48,40.0,0.0,0.0,0.07,
2010-08-13,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-7.86,29.0,0.0,0.0,0.07,
2010-08-14,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,3.88,34.0,0.0,0.0,0.07,
2010-08-15,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,-2.54,30.6,0.0,0.0,0.07,0.06
2010-08-16,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.31,31.0,0.0,0.0,0.07,0.06
2010-08-17,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,6.87,40.0,0.0,0.0,0.07,0.06
2010-08-18,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,-2.86,36.0,0.0,0.0,0.07,0.06
2010-08-19,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,-1.91,33.4,0.0,0.0,0.07,0.06
2010-08-20,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,-1.8,31.0,0.0,0.0,0.07,0.06
2010-08-21,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,1.37,32.8,0.0,0.0,0.07,0.06
2010-08-22,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,-0.6,32.0,0.0,0.0,0.07,0.06
2010-08-23,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-1.67,29.8,0.0,0.0,0.07,0.06
2010-08-24,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.15,30.0,0.0,0.0,0.07,0.06
2010-08-25,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-0.31,29.6,0.0,0.0,0.07,0.06
2010-08-26,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-1.23,28.0,0.0,0.0,0.07,0.06
2010-08-27,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,1.56,30.0,0.0,0.0,0.07,0.06
2010-08-28,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-1.38,28.2,0.0,0.0,0.06,0.06
2010-08-29,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-0.16,28.0,0.0,0.0,0.06,0.06
2010-08-30,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,1.56,30.0,0.0,0.0,0.06,0.06
2010-08-31,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-7.69,20.0,0.0,0.0,0.06,0.06
2010-09-01,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,4.83,25.8,0.0,0.0,0.06,0.06
2010-09-02,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.79,26.8,0.0,0.0,0.06,0.06
2010-09-03,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-3.94,21.8,0.0,0.0,0.06,0.07
2010-09-04,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,2.46,24.8,0.0,0.0,0.06,0.07
2010-09-05,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-1.28,23.2,0.0,0.0,0.06,0.07
2010-09-06,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.06,0.07
2010-09-07,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-0.97,22.0,0.0,0.0,0.06,0.07
2010-09-08,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,1.64,24.0,0.0,0.0,0.06,0.06
2010-09-09,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-1.45,22.2,0.0,0.0,0.06,0.06
2010-09-10,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,1.15,23.6,0.0,0.0,0.06,0.06
2010-09-11,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,3.07,27.4,0.0,0.0,0.06,0.06
2010-09-12,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-3.45,23.0,0.0,0.0,0.06,0.06
2010-09-13,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,1.14,24.4,0.0,0.0,0.06,0.06
2010-09-14,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-0.32,24.0,0.0,0.0,0.06,0.06
2010-09-15,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-2.58,20.8,0.0,0.0,0.06,0.06
2010-09-16,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,2.48,23.8,0.0,0.0,0.06,0.06
2010-09-17,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-4.68,18.0,0.0,0.0,0.06,0.06
2010-09-18,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,3.39,22.0,0.0,0.0,0.06,0.06
2010-09-19,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,2.79,25.4,0.0,0.0,0.06,0.06
2010-09-20,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-0.96,24.2,0.0,0.0,0.06,0.06
2010-09-21,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.97,25.4,0.0,0.0,0.06,0.06
2010-09-22,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-0.8,24.4,0.0,0.0,0.06,0.06
2010-09-23,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.16,24.6,0.0,0.0,0.06,0.06
2010-09-24,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-0.16,24.4,0.0,0.0,0.06,0.06
2010-09-25,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-0.32,24.0,0.0,0.0,0.06,0.06
2010-09-26,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.06,0.06
2010-09-27,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.32,24.4,0.0,0.0,0.06,0.06
2010-09-28,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-0.48,23.8,0.0,0.0,0.06,0.06
2010-09-29,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.06,0.06
2010-09-30,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.06,0.06
2010-10-01,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.16,24.0,0.0,0.0,0.06,0.06
2010-10-02,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-0.97,22.8,0.0,0.0,0.06,0.06
2010-10-03,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,-0.49,22.2,0.0,0.0,0.06,0.06
2010-10-04,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.33,22.6,0.0,0.0,0.06,0.06
2010-10-05,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.16,22.8,0.0,0.0,0.06,0.06
2010-10-06,BTC,USD,2026-05-11,UTC,0.06,0.06,0.06,0.06,0.0,0.0,0.0,2.28,25.6,0.0,0.0,0.06,0.06
2010-10-07,BTC,USD,2026-05-11,UTC,0.07,0.07,0.07,0.07,0.0,0.0,0.0,6.69,34.0,0.0,0.0,0.06,0.06
2010-10-08,BTC,USD,2026-05-11,UTC,0.09,0.09,0.09,0.09,0.0,0.0,0.0,29.7,73.8,0.0,0.0,0.07,0.06
2010-10-09,BTC,USD,2026-05-11,UTC,0.09,0.09,0.09,0.09,0.0,0.0,0.0,7.94,87.6,0.0,0.0,0.07,0.06
2010-10-10,BTC,USD,2026-05-11,UTC,0.1,0.1,0.1,0.1,0.0,0.0,0.0,2.88,93.0,0.0,0.0,0.08,0.07
2010-10-11,BTC,USD,2026-05-11,UTC,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-1.55,90.0,0.0,0.0,0.08,0.07
2010-10-12,BTC,USD,2026-05-11,UTC,0.09,0.09,0.09,0.09,0.0,0.0,0.0,-0.11,89.8,0.0,0.0,0.09,0.07
2010-10-13,BTC,USD,2026-05-11,UTC,0.1,0.1,0.1,0.1,0.0,0.0,0.0,10.64,110.0,0.0,0.0,0.09,0.07
2010-10-14,BTC,USD,2026-05-11,UTC,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-2.86,104.0,0.0,0.0,0.1,0.07
2010-10-15,BTC,USD,2026-05-11,UTC,0.1,0.1,0.1,0.1,0.0,0.0,0.0,2.94,110.0,0.0,0.0,0.1,0.07
2010-10-16,BTC,USD,2026-05-11,UTC,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-3.81,102.0,0.0,0.0,0.1,0.07
2010-10-17,BTC,USD,2026-05-11,UTC,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.99,104.0,0.0,0.0,0.1,0.07
2010-10-18,BTC,USD,2026-05-11,UTC,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.39,104.8,0.0,0.0,0.1,0.08
2010-10-19,BTC,USD,2026-05-11,UTC,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-5.27,94.0,0.0,0.0,0.1,0.08
2010-10-20,BTC,USD,2026-05-11,UTC,0.1,0.1,0.1,0.1,0.0,0.0,0.0,2.06,98.0,0.0,0.0,0.1,0.08
2010-10-21,BTC,USD,2026-05-11,UTC,0.11,0.11,0.11,0.11,0.0,0.0,0.0,8.08,114.0,0.0,0.0,0.1,0.08
2010-10-22,BTC,USD,2026-05-11,UTC,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-4.21,105.0,0.0,0.0,0.1,0.08
2010-10-23,BTC,USD,2026-05-11,UTC,0.11,0.11,0.11,0.11,0.0,0.0,0.0,2.93,111.0,0.0,0.0,0.1,0.08
2010-10-24,BTC,USD,2026-05-11,UTC,0.12,0.12,0.12,0.12,0.0,0.0,0.0,9.0,130.0,0.0,0.0,0.1,0.08
2010-10-25,BTC,USD,2026-05-11,UTC,0.13,0.13,0.13,0.13,0.0,0.0,0.0,14.78,164.0,0.0,0.0,0.11,0.09
2010-10-26,BTC,USD,2026-05-11,UTC,0.15,0.15,0.15,0.15,0.0,0.0,0.0,13.86,200.6,0.0,0.0,0.12,0.09
2010-10-27,BTC,USD,2026-05-11,UTC,0.19,0.19,0.19,0.19,0.0,0.0,0.0,24.88,275.4,0.0,0.0,0.13,0.09
2010-10-28,BTC,USD,2026-05-11,UTC,0.17,0.17,0.17,0.17,0.0,0.0,0.0,-7.78,246.2,0.0,0.0,0.14,0.1
2010-10-29,BTC,USD,2026-05-11,UTC,0.19,0.19,0.19,0.19,0.0,0.0,0.0,9.76,280.0,0.0,0.0,0.15,0.1
2010-10-30,BTC,USD,2026-05-11,UTC,0.2,0.2,0.2,0.2,0.0,0.0,0.0,4.68,297.8,0.0,0.0,0.16,0.11
2010-10-31,BTC,USD,2026-05-11,UTC,0.19,0.19,0.19,0.19,0.0,0.0,0.0,-3.22,285.0,0.0,0.0,0.17,0.11
2010-11-01,BTC,USD,2026-05-11,UTC,0.2,0.2,0.2,0.2,0.0,0.0,0.0,1.56,291.0,0.0,0.0,0.18,0.11
2010-11-02,BTC,USD,2026-05-11,UTC,0.19,0.19,0.19,0.19,0.0,0.0,0.0,-0.87,287.6,0.0,0.0,0.19,0.12
2010-11-03,BTC,USD,2026-05-11,UTC,0.19,0.19,0.19,0.19,0.0,0.0,0.0,-0.36,286.2,0.0,0.0,0.19,0.12
2010-11-04,BTC,USD,2026-05-11,UTC,0.23,0.23,0.23,0.23,0.0,0.0,0.0,19.11,360.0,0.0,0.0,0.2,0.13
2010-11-05,BTC,USD,2026-05-11,UTC,0.26,0.26,0.26,0.26,0.0,0.0,0.0,13.04,420.0,0.0,0.0,0.21,0.14
2010-11-06,BTC,USD,2026-05-11,UTC,0.39,0.39,0.39,0.39,0.0,0.0,0.0,50.0,680.0,0.0,0.0,0.24,0.15
2010-11-07,BTC,USD,2026-05-11,UTC,0.34,0.34,0.34,0.34,0.0,0.0,0.0,-12.82,580.0,0.0,0.0,0.26,0.16
2010-11-08,BTC,USD,2026-05-11,UTC,0.24,0.24,0.24,0.24,0.0,0.0,0.0,-28.53,386.0,0.0,0.0,0.26,0.16
2010-11-09,BTC,USD,2026-05-11,UTC,0.21,0.21,0.21,0.21,0.0,0.0,0.0,-13.58,320.0,0.0,0.0,0.27,0.16
