date,symbol,dt_last_refreshed,timezone,open,high,low,close,volume,daily_change,intraday_return_pct,daily_return_pct,cumulative_return_pct,intraday_volatility_abs,volatility_ratio,intraday_volatility_pct,volume_change_pct,moving_avg_7d,moving_avg_30d
2009-02-06,VXX,2026-05-08,US/Eastern,108.1,108.1,95.06,97.7,1024000,-10.4,-9.62,,0.0,13.04,0.13,12.06,,,
2009-02-13,VXX,2026-05-08,US/Eastern,98.33,108.0,97.87,101.99,665600,3.66,3.72,4.39,4.39,10.13,0.1,10.3,-35.0,,
2009-02-20,VXX,2026-05-08,US/Eastern,107.0,116.4,105.0,113.32,358400,6.32,5.91,11.11,15.99,11.4,0.1,10.65,-46.15,,
2009-02-27,VXX,2026-05-08,US/Eastern,111.0,120.0,102.96,108.67,569600,-2.33,-2.1,-4.1,11.23,17.04,0.16,15.35,58.93,,
2009-03-06,VXX,2026-05-08,US/Eastern,111.02,118.55,104.79,113.38,870400,2.36,2.13,4.33,16.05,13.76,0.12,12.39,52.81,,
2009-03-13,VXX,2026-05-08,US/Eastern,113.55,114.5,101.93,104.25,1619200,-9.3,-8.19,-8.05,6.7,12.57,0.12,11.07,86.03,,
2009-03-20,VXX,2026-05-08,US/Eastern,104.0,116.86,102.0,115.96,3072000,11.96,11.5,11.23,18.69,14.86,0.13,14.29,89.72,107.9,
2009-03-27,VXX,2026-05-08,US/Eastern,113.0,114.75,103.18,107.31,2924800,-5.69,-5.04,-7.46,9.84,11.57,0.11,10.24,-4.79,109.27,
2009-04-03,VXX,2026-05-08,US/Eastern,112.0,118.99,106.49,107.42,3200000,-4.58,-4.09,0.1,9.95,12.5,0.12,11.16,9.41,110.04,
2009-04-09,VXX,2026-05-08,US/Eastern,108.39,110.0,100.74,101.86,2022400,-6.53,-6.02,-5.18,4.26,9.26,0.09,8.54,-36.8,108.41,
2009-04-17,VXX,2026-05-08,US/Eastern,102.52,103.51,92.56,92.73,2054400,-9.79,-9.55,-8.96,-5.09,10.95,0.12,10.68,1.58,106.13,
2009-04-24,VXX,2026-05-08,US/Eastern,94.59,101.07,92.31,95.61,1843200,1.02,1.08,3.11,-2.14,8.76,0.09,9.26,-10.28,103.59,
2009-05-01,VXX,2026-05-08,US/Eastern,95.99,99.84,90.21,92.56,1472000,-3.43,-3.57,-3.19,-5.26,9.63,0.1,10.03,-20.14,101.92,
2009-05-08,VXX,2026-05-08,US/Eastern,90.95,91.96,81.49,82.65,1536000,-8.3,-9.13,-10.71,-15.4,10.47,0.13,11.51,4.35,97.16,
2009-05-15,VXX,2026-05-08,US/Eastern,83.65,87.3,80.26,83.43,1523200,-0.22,-0.26,0.94,-14.61,7.04,0.08,8.42,-0.83,93.75,
2009-05-22,VXX,2026-05-08,US/Eastern,83.49,83.81,71.96,83.81,2963200,0.32,0.38,0.46,-14.22,11.85,0.14,14.19,94.54,90.38,
2009-05-29,VXX,2026-05-08,US/Eastern,83.81,83.81,76.15,77.93,1670400,-5.88,-7.02,-7.02,-20.24,7.66,0.1,9.14,-43.63,86.96,
2009-06-05,VXX,2026-05-08,US/Eastern,76.88,80.29,72.72,77.35,1657600,0.47,0.61,-0.74,-20.83,7.57,0.1,9.85,-0.77,84.76,
2009-06-12,VXX,2026-05-08,US/Eastern,78.04,80.01,71.48,71.9,1721600,-6.14,-7.87,-7.05,-26.41,8.53,0.12,10.93,3.86,81.38,
2009-06-19,VXX,2026-05-08,US/Eastern,72.9,80.27,72.68,76.02,2150400,3.12,4.28,5.73,-22.19,7.58,0.1,10.4,24.91,79.01,
2009-06-26,VXX,2026-05-08,US/Eastern,77.97,79.94,69.27,69.8,2432000,-8.17,-10.48,-8.18,-28.56,10.67,0.15,13.68,13.1,77.18,
2009-07-02,VXX,2026-05-08,US/Eastern,69.94,71.68,65.87,71.58,3180800,1.64,2.34,2.55,-26.73,5.81,0.08,8.31,30.79,75.48,
