"date","convenience_store","store","county_number","county","category","category_name","vendor_no","vendor","item","description","pack","liter_size","state_btl_cost","btl_price","bottle_qty","total"
"2014-11-13 00:00:00",NULL,2635,"82","Scott","1032200","IMPORTED VODKA - MISC","370","Pernod Ricard USA/Austin Nichols",34036,"Absolut Pears",12,750,"$11.49","$17.24",4,"68.96"
"2014-11-13 00:00:00",NULL,2635,"82","Scott","1032200","IMPORTED VODKA - MISC","370","Pernod Ricard USA/Austin Nichols",34076,"Absolut Vanilia",12,750,"$11.49","$17.24",12,"206.88"
"2014-11-13 00:00:00",NULL,2635,"82","Scott","1032200","IMPORTED VODKA - MISC","370","Pernod Ricard USA/Austin Nichols",34116,"Absolut Mandrin",12,750,"$11.49","$17.24",12,"206.88"
"2014-11-13 00:00:00",NULL,2635,"82","Scott","1032080","IMPORTED VODKA","420","Moet Hennessy USA Inc.",34155,"Belvedere Vodka",6,750,"$17.15","$25.73",6,"154.38"
"2014-11-13 00:00:00",NULL,2635,"82","Scott","1032080","IMPORTED VODKA","260","Diageo Americas",34164,"Ciroc Luxury Vodka",24,200,"$5.00","$7.50",6,"45.00"
"2014-11-13 00:00:00",NULL,2635,"82","Scott","1032200","IMPORTED VODKA - MISC","370","Pernod Ricard USA/Austin Nichols",34190,"Absolut Cherrykran",12,750,"$11.49","$17.24",12,"206.88"
"2014-11-13 00:00:00",NULL,2635,"82","Scott","1032080","IMPORTED VODKA","85","Brown-Forman Corporation",34326,"Finlandia Imp Vodka 80prf",12,750,"$8.57","$12.86",12,"154.32"
"2014-11-13 00:00:00",NULL,2635,"82","Scott","1032080","IMPORTED VODKA","35","Bacardi U.S.A. Inc.",34423,"Grey Goose Vodka",12,375,"$9.00","$13.50",4,"54.00"
"2014-11-13 00:00:00",NULL,2635,"82","Scott","1032080","IMPORTED VODKA","35","Bacardi U.S.A. Inc.",34433,"Grey Goose Vodka",12,750,"$18.49","$27.74",12,"332.88"
"2014-11-13 00:00:00",NULL,2635,"82","Scott","1032080","IMPORTED VODKA","260","Diageo Americas",34456,"Ketel One Imported Vodka",12,750,"$14.00","$21.00",12,"252.00"
"2014-11-13 00:00:00",NULL,2635,"82","Scott","1032080","IMPORTED VODKA","267","Imperial Brands Inc.",34690,"Sobieski Vodka",12,750,"$6.50","$9.75",12,"117.00"
"2014-11-13 00:00:00",NULL,2635,"82","Scott","1032200","IMPORTED VODKA - MISC","370","Pernod Ricard USA/Austin Nichols",35354,"Absolut Mango Vodka",12,750,"$11.49","$17.24",12,"206.88"
"2014-11-13 00:00:00",NULL,2635,"82","Scott","1031080","80 PROOF VODKA","297","Laird And Company",35926,"Five O'clock PET Vodka",12,750,"$3.37","$5.06",12,"60.72"
