data,source,country_name,country_code,indicator_name,indicator_code,year,access_to_electricity
Access to Electricity,World Bank Open Data,Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,33.9222756622758
Access to Electricity,World Bank Open Data,Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,71.5
Access to Electricity,World Bank Open Data,Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,46.8624182524845
Access to Electricity,World Bank Open Data,Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,42.0
Access to Electricity,World Bank Open Data,Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,88.6616431398725
Access to Electricity,World Bank Open Data,United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.7
Access to Electricity,World Bank Open Data,Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,7.9
Access to Electricity,World Bank Open Data,Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,29.6
Access to Electricity,World Bank Open Data,Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,16.2
Access to Electricity,World Bank Open Data,Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,74.0
Access to Electricity,World Bank Open Data,Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,96.6
Access to Electricity,World Bank Open Data,Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.7
Access to Electricity,World Bank Open Data,Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,97.4
Access to Electricity,World Bank Open Data,Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,91.8
Access to Electricity,World Bank Open Data,Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,91.5
Access to Electricity,World Bank Open Data,Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.7
Access to Electricity,World Bank Open Data,Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,95.4
Access to Electricity,World Bank Open Data,Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,62.1
Access to Electricity,World Bank Open Data,Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,12.7
Access to Electricity,World Bank Open Data,Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.5384709863299
Access to Electricity,World Bank Open Data,Switzerland,CHE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Channel Islands,CHI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.7
Access to Electricity,World Bank Open Data,China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,62.6
Access to Electricity,World Bank Open Data,Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,58.6
Access to Electricity,World Bank Open Data,"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,16.6
Access to Electricity,World Bank Open Data,"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,44.3
Access to Electricity,World Bank Open Data,Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,98.2
Access to Electricity,World Bank Open Data,Comoros,COM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,74.1
Access to Electricity,World Bank Open Data,Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,86.4
Access to Electricity,World Bank Open Data,Costa Rica,CRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.4
Access to Electricity,World Bank Open Data,Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,96.2001948453372
Access to Electricity,World Bank Open Data,Cuba,CUB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.0
Access to Electricity,World Bank Open Data,Curacao,CUW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Cyprus,CYP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Czechia,CZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,59.1
Access to Electricity,World Bank Open Data,Dominica,DMA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,96.7
Access to Electricity,World Bank Open Data,Denmark,DNK,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Access to Electricity,World Bank Open Data,Dominican Republic,DOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,98.6
Access to Electricity,World Bank Open Data,Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.4
Access to Electricity,World Bank Open Data,East Asia & Pacific (excluding high income),EAP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,96.6218250728069
Access to Electricity,World Bank Open Data,Early-demographic dividend,EAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,86.8271544642577
Access to Electricity,World Bank Open Data,East Asia & Pacific,EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,96.9500599621312
Access to Electricity,World Bank Open Data,Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.7676589877916
Access to Electricity,World Bank Open Data,Europe & Central Asia,ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.1677802593579
Access to Electricity,World Bank Open Data,Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,98.8
