DataSource,Country,Reason
Access to Electricity,Afghanistan,Direct Match
Access to Electricity,Albania,Direct Match
Access to Electricity,Algeria,Direct Match
Access to Electricity,Andorra,Direct Match
Access to Electricity,Angola,Direct Match
Access to Electricity,Antigua and Barbuda,Direct Match
Access to Electricity,Argentina,Direct Match
Access to Electricity,Armenia,Direct Match
Access to Electricity,Aruba,Direct Match
Access to Electricity,Australia,Direct Match
Access to Electricity,Austria,Direct Match
Access to Electricity,Azerbaijan,Direct Match
Access to Electricity,Bahrain,Direct Match
Access to Electricity,Bangladesh,Direct Match
Access to Electricity,Barbados,Direct Match
Access to Electricity,Belarus,Direct Match
Access to Electricity,Belgium,Direct Match
Access to Electricity,Belize,Direct Match
Access to Electricity,Benin,Direct Match
Access to Electricity,Bermuda,Direct Match
Access to Electricity,Bhutan,Direct Match
Access to Electricity,Bosnia and Herzegovina,Direct Match
Access to Electricity,Botswana,Direct Match
Access to Electricity,Brazil,Direct Match
Access to Electricity,British Virgin Islands,Direct Match
Access to Electricity,Brunei Darussalam,Direct Match
Access to Electricity,Bulgaria,Direct Match
Access to Electricity,Burkina Faso,Direct Match
Access to Electricity,Burundi,Direct Match
Access to Electricity,Cabo Verde,Direct Match
Access to Electricity,Cambodia,Direct Match
Access to Electricity,Cameroon,Direct Match
Access to Electricity,Canada,Direct Match
Access to Electricity,Cayman Islands,Direct Match
Access to Electricity,Central African Republic,Direct Match
Access to Electricity,Chad,Direct Match
Access to Electricity,Chile,Direct Match
Access to Electricity,China,Direct Match
Access to Electricity,Colombia,Direct Match
Access to Electricity,Comoros,Direct Match
Access to Electricity,Costa Rica,Direct Match
Access to Electricity,Croatia,Direct Match
Access to Electricity,Cuba,Direct Match
Access to Electricity,Cyprus,Direct Match
Access to Electricity,Czechia,Direct Match
Access to Electricity,Denmark,Direct Match
Access to Electricity,Djibouti,Direct Match
Access to Electricity,Dominica,Direct Match
Access to Electricity,Dominican Republic,Direct Match
Access to Electricity,Ecuador,Direct Match
Access to Electricity,El Salvador,Direct Match
Access to Electricity,Equatorial Guinea,Direct Match
Access to Electricity,Eritrea,Direct Match
Access to Electricity,Estonia,Direct Match
Access to Electricity,Eswatini,Direct Match
Access to Electricity,Ethiopia,Direct Match
Access to Electricity,Faroe Islands,Direct Match
Access to Electricity,Fiji,Direct Match
Access to Electricity,Finland,Direct Match
Access to Electricity,France,Direct Match
Access to Electricity,French Polynesia,Direct Match
Access to Electricity,Gabon,Direct Match
Access to Electricity,Georgia,Direct Match
Access to Electricity,Germany,Direct Match
Access to Electricity,Ghana,Direct Match
Access to Electricity,Gibraltar,Direct Match
Access to Electricity,Greece,Direct Match
Access to Electricity,Greenland,Direct Match
Access to Electricity,Grenada,Direct Match
Access to Electricity,Guam,Direct Match
Access to Electricity,Guatemala,Direct Match
Access to Electricity,Guinea,Direct Match
Access to Electricity,Guinea-Bissau,Direct Match
Access to Electricity,Guyana,Direct Match
Access to Electricity,Haiti,Direct Match
Access to Electricity,Honduras,Direct Match
Access to Electricity,Hungary,Direct Match
Access to Electricity,Iceland,Direct Match
Access to Electricity,India,Direct Match
Access to Electricity,Indonesia,Direct Match
Access to Electricity,Iraq,Direct Match
Access to Electricity,Ireland,Direct Match
Access to Electricity,Isle of Man,Direct Match
Access to Electricity,Israel,Direct Match
Access to Electricity,Italy,Direct Match
Access to Electricity,Jamaica,Direct Match
Access to Electricity,Japan,Direct Match
Access to Electricity,Jordan,Direct Match
Access to Electricity,Kazakhstan,Direct Match
Access to Electricity,Kenya,Direct Match
Access to Electricity,Kiribati,Direct Match
Access to Electricity,Kuwait,Direct Match
Access to Electricity,Latvia,Direct Match
Access to Electricity,Lebanon,Direct Match
Access to Electricity,Lesotho,Direct Match
Access to Electricity,Liberia,Direct Match
Access to Electricity,Libya,Direct Match
Access to Electricity,Liechtenstein,Direct Match
Access to Electricity,Lithuania,Direct Match
Access to Electricity,Luxembourg,Direct Match
Access to Electricity,Madagascar,Direct Match
Access to Electricity,Malawi,Direct Match
Access to Electricity,Malaysia,Direct Match
Access to Electricity,Maldives,Direct Match
Access to Electricity,Mali,Direct Match
Access to Electricity,Malta,Direct Match
