DataSource,Country,Reason
Access to Electricity,American Samoa,Found only in UNEP
Access to Electricity,Anguilla,Found only in UNEP
Access to Electricity,"Bonaire, St. Eustatius & Saba",Found only in UNEP
Access to Electricity,Cook Islands,Found only in UNEP
Access to Electricity,Falkland Islands (Malvinas),Found only in UNEP
Access to Electricity,French Guiana,Found only in UNEP
Access to Electricity,Guadeloupe,Found only in UNEP
Access to Electricity,Holy See,Found only in UNEP
Access to Electricity,Martinique,Found only in UNEP
Access to Electricity,Mayotte,Found only in UNEP
Access to Electricity,Montserrat,Found only in UNEP
Access to Electricity,Niue,Found only in UNEP
Access to Electricity,Réunion,Found only in UNEP
Access to Electricity,Saint Barthélemy,Found only in UNEP
Access to Electricity,Saint Helena,Found only in UNEP
Access to Electricity,Saint Pierre and Miquelon,Found only in UNEP
Access to Electricity,State of Palestine,Found only in UNEP
Access to Electricity,Tokelau,Found only in UNEP
Access to Electricity,Wallis and Futuna Islands,Found only in UNEP
Access to Electricity,Western Sahara,Found only in UNEP
CO2 Emissions,Afghanistan,Found only in UNEP
CO2 Emissions,American Samoa,Found only in UNEP
CO2 Emissions,Andorra,Found only in UNEP
CO2 Emissions,Angola,Found only in UNEP
CO2 Emissions,Anguilla,Found only in UNEP
CO2 Emissions,Antigua and Barbuda,Found only in UNEP
CO2 Emissions,Armenia,Found only in UNEP
CO2 Emissions,Aruba,Found only in UNEP
CO2 Emissions,Bahrain,Found only in UNEP
CO2 Emissions,Bangladesh,Found only in UNEP
CO2 Emissions,Barbados,Found only in UNEP
CO2 Emissions,Belize,Found only in UNEP
CO2 Emissions,Bermuda,Found only in UNEP
CO2 Emissions,Bhutan,Found only in UNEP
CO2 Emissions,"Bonaire, St. Eustatius & Saba",Found only in UNEP
CO2 Emissions,Botswana,Found only in UNEP
CO2 Emissions,British Virgin Islands,Found only in UNEP
CO2 Emissions,Burkina Faso,Found only in UNEP
CO2 Emissions,Burundi,Found only in UNEP
CO2 Emissions,Cabo Verde,Found only in UNEP
CO2 Emissions,Cameroon,Found only in UNEP
CO2 Emissions,Cayman Islands,Found only in UNEP
CO2 Emissions,Central African Republic,Found only in UNEP
CO2 Emissions,Chad,Found only in UNEP
CO2 Emissions,Comoros,Found only in UNEP
CO2 Emissions,Cook Islands,Found only in UNEP
CO2 Emissions,Costa Rica,Found only in UNEP
CO2 Emissions,Curaçao,Found only in UNEP
CO2 Emissions,Cyprus,Found only in UNEP
CO2 Emissions,Côte d’Ivoire,Found only in UNEP
CO2 Emissions,Dem. Rep. of the Congo,Found only in UNEP
CO2 Emissions,Djibouti,Found only in UNEP
CO2 Emissions,El Salvador,Found only in UNEP
CO2 Emissions,Equatorial Guinea,Found only in UNEP
CO2 Emissions,Eritrea,Found only in UNEP
CO2 Emissions,Eswatini,Found only in UNEP
CO2 Emissions,Falkland Islands (Malvinas),Found only in UNEP
CO2 Emissions,Fiji,Found only in UNEP
CO2 Emissions,Finland,Found only in UNEP
CO2 Emissions,French Guiana,Found only in UNEP
CO2 Emissions,French Polynesia,Found only in UNEP
CO2 Emissions,Gambia,Found only in UNEP
CO2 Emissions,Georgia,Found only in UNEP
CO2 Emissions,Ghana,Found only in UNEP
CO2 Emissions,Grenada,Found only in UNEP
CO2 Emissions,Guadeloupe,Found only in UNEP
CO2 Emissions,Guam,Found only in UNEP
CO2 Emissions,Guatemala,Found only in UNEP
CO2 Emissions,Guinea,Found only in UNEP
CO2 Emissions,Guinea-Bissau,Found only in UNEP
CO2 Emissions,Haiti,Found only in UNEP
CO2 Emissions,Holy See,Found only in UNEP
CO2 Emissions,India,Found only in UNEP
CO2 Emissions,Iran (Islamic Republic of),Found only in UNEP
CO2 Emissions,Iraq,Found only in UNEP
CO2 Emissions,Isle of Man,Found only in UNEP
