DataSource,Original Country,Mapped UNEP Country
Access to Electricity,"Bahamas, The",Bahamas
Access to Electricity,Bolivia,Bolivia (Plurin. State of)
Access to Electricity,"Congo, Dem. Rep.",Dem. Rep. of the Congo
Access to Electricity,"Congo, Rep.",Congo
Access to Electricity,Cote d'Ivoire,Côte d’Ivoire
Access to Electricity,Curacao,Curaçao
Access to Electricity,"Egypt, Arab Rep.",Egypt
Access to Electricity,"Gambia, The",Gambia
Access to Electricity,"Hong Kong SAR, China","China, Hong Kong SAR"
Access to Electricity,"Iran, Islamic Rep.",Iran (Islamic Republic of)
Access to Electricity,"Korea, Dem. People's Rep.",Dem. People's Rep. Korea
Access to Electricity,"Korea, Rep.",Republic of Korea
Access to Electricity,Kyrgyz Republic,Kyrgyzstan
Access to Electricity,Lao PDR,Lao People's Dem. Rep.
Access to Electricity,"Macao SAR, China","China, Macao SAR"
Access to Electricity,"Micronesia, Fed. Sts.",Micronesia (Fed. States of)
Access to Electricity,Moldova,Republic of Moldova
Access to Electricity,Puerto Rico (US),Puerto Rico
Access to Electricity,Slovak Republic,Slovakia
Access to Electricity,"Somalia, Fed. Rep.",Somalia
Access to Electricity,St. Kitts and Nevis,Saint Kitts and Nevis
Access to Electricity,St. Lucia,Saint Lucia
Access to Electricity,St. Martin (French part),Saint Martin (French part)
Access to Electricity,St. Vincent and the Grenadines,Saint Vincent & Grenadines
Access to Electricity,Tanzania,United Rep. of Tanzania
Access to Electricity,Turkiye,Turkey
Access to Electricity,United States,United States of America
Access to Electricity,"Venezuela, RB",Venezuela (Boliv. Rep. of)
Access to Electricity,Virgin Islands (U.S.),United States Virgin Islands
Access to Electricity,"Yemen, Rep.",Yemen
CO2 Emissions,"Bahamas, The",Bahamas
CO2 Emissions,Bolivia,Bolivia (Plurin. State of)
CO2 Emissions,"Congo, Rep.",Congo
CO2 Emissions,"Egypt, Arab Rep.",Egypt
CO2 Emissions,"Hong Kong SAR, China","China, Hong Kong SAR"
CO2 Emissions,"Korea, Dem. People's Rep.",Dem. People's Rep. Korea
CO2 Emissions,"Korea, Rep.",Republic of Korea
CO2 Emissions,Lao PDR,Lao People's Dem. Rep.
CO2 Emissions,"Macao SAR, China","China, Macao SAR"
CO2 Emissions,Moldova,Republic of Moldova
CO2 Emissions,Slovak Republic,Slovakia
CO2 Emissions,St. Lucia,Saint Lucia
CO2 Emissions,St. Vincent and the Grenadines,Saint Vincent & Grenadines
CO2 Emissions,Turkiye,Turkey
CO2 Emissions,United States,United States of America
CO2 Emissions,"Venezuela, RB",Venezuela (Boliv. Rep. of)
GDP per Capita,"Bahamas, The",Bahamas
GDP per Capita,Bolivia,Bolivia (Plurin. State of)
GDP per Capita,"Congo, Dem. Rep.",Dem. Rep. of the Congo
GDP per Capita,"Congo, Rep.",Congo
GDP per Capita,Cote d'Ivoire,Côte d’Ivoire
GDP per Capita,Curacao,Curaçao
GDP per Capita,"Egypt, Arab Rep.",Egypt
GDP per Capita,"Gambia, The",Gambia
GDP per Capita,"Hong Kong SAR, China","China, Hong Kong SAR"
GDP per Capita,"Iran, Islamic Rep.",Iran (Islamic Republic of)
GDP per Capita,"Korea, Rep.",Republic of Korea
GDP per Capita,Kyrgyz Republic,Kyrgyzstan
GDP per Capita,Lao PDR,Lao People's Dem. Rep.
GDP per Capita,"Macao SAR, China","China, Macao SAR"
GDP per Capita,"Micronesia, Fed. Sts.",Micronesia (Fed. States of)
GDP per Capita,Moldova,Republic of Moldova
GDP per Capita,Puerto Rico (US),Puerto Rico
GDP per Capita,Slovak Republic,Slovakia
GDP per Capita,"Somalia, Fed. Rep.",Somalia
GDP per Capita,St. Kitts and Nevis,Saint Kitts and Nevis
