DataSource,Country,Reason
Access to Electricity,Africa Eastern and Southern,Not found in UNEP
Access to Electricity,Africa Western and Central,Not found in UNEP
Access to Electricity,Arab World,Not found in UNEP
Access to Electricity,Caribbean small states,Not found in UNEP
Access to Electricity,Central Europe and the Baltics,Not found in UNEP
Access to Electricity,Channel Islands,Not found in UNEP
Access to Electricity,Early-demographic dividend,Not found in UNEP
Access to Electricity,East Asia & Pacific,Not found in UNEP
Access to Electricity,East Asia & Pacific (IDA & IBRD countries),Not found in UNEP
Access to Electricity,East Asia & Pacific (excluding high income),Not found in UNEP
Access to Electricity,Euro area,Not found in UNEP
Access to Electricity,Europe & Central Asia,Not found in UNEP
Access to Electricity,Europe & Central Asia (IDA & IBRD countries),Not found in UNEP
Access to Electricity,Europe & Central Asia (excluding high income),Not found in UNEP
Access to Electricity,European Union,Not found in UNEP
Access to Electricity,Fragile and conflict affected situations,Not found in UNEP
Access to Electricity,Heavily indebted poor countries (HIPC),Not found in UNEP
Access to Electricity,High income,Not found in UNEP
Access to Electricity,IBRD only,Not found in UNEP
Access to Electricity,IDA & IBRD total,Not found in UNEP
Access to Electricity,IDA blend,Not found in UNEP
Access to Electricity,IDA only,Not found in UNEP
Access to Electricity,IDA total,Not found in UNEP
Access to Electricity,Late-demographic dividend,Not found in UNEP
Access to Electricity,Latin America & Caribbean,Not found in UNEP
Access to Electricity,Latin America & Caribbean (excluding high income),Not found in UNEP
Access to Electricity,Latin America & the Caribbean (IDA & IBRD countries),Not found in UNEP
Access to Electricity,Least developed countries: UN classification,Not found in UNEP
Access to Electricity,Low & middle income,Not found in UNEP
Access to Electricity,Low income,Not found in UNEP
Access to Electricity,Lower middle income,Not found in UNEP
Access to Electricity,"Middle East, North Africa, Afghanistan & Pakistan",Not found in UNEP
Access to Electricity,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Not found in UNEP
Access to Electricity,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Not found in UNEP
Access to Electricity,Middle income,Not found in UNEP
Access to Electricity,North America,Not found in UNEP
Access to Electricity,OECD members,Not found in UNEP
Access to Electricity,Other small states,Not found in UNEP
Access to Electricity,Pacific island small states,Not found in UNEP
Access to Electricity,Post-demographic dividend,Not found in UNEP
Access to Electricity,Pre-demographic dividend,Not found in UNEP
Access to Electricity,Small states,Not found in UNEP
Access to Electricity,South Asia,Not found in UNEP
Access to Electricity,South Asia (IDA & IBRD),Not found in UNEP
Access to Electricity,Sub-Saharan Africa,Not found in UNEP
Access to Electricity,Sub-Saharan Africa (IDA & IBRD countries),Not found in UNEP
Access to Electricity,Sub-Saharan Africa (excluding high income),Not found in UNEP
Access to Electricity,Upper middle income,Not found in UNEP
Access to Electricity,West Bank and Gaza,Not found in UNEP
Access to Electricity,World,Not found in UNEP
CO2 Emissions,Africa Eastern and Southern,Not found in UNEP
CO2 Emissions,Africa Western and Central,Not found in UNEP
CO2 Emissions,Arab World,Not found in UNEP
CO2 Emissions,Caribbean small states,Not found in UNEP
CO2 Emissions,Central Europe and the Baltics,Not found in UNEP
CO2 Emissions,Early-demographic dividend,Not found in UNEP
CO2 Emissions,East Asia & Pacific,Not found in UNEP
CO2 Emissions,East Asia & Pacific (IDA & IBRD countries),Not found in UNEP
CO2 Emissions,East Asia & Pacific (excluding high income),Not found in UNEP
CO2 Emissions,Euro area,Not found in UNEP
CO2 Emissions,Europe & Central Asia,Not found in UNEP
CO2 Emissions,Europe & Central Asia (IDA & IBRD countries),Not found in UNEP
CO2 Emissions,Europe & Central Asia (excluding high income),Not found in UNEP
CO2 Emissions,European Union,Not found in UNEP
CO2 Emissions,Fragile and conflict affected situations,Not found in UNEP
CO2 Emissions,Heavily indebted poor countries (HIPC),Not found in UNEP
