data,source,country_name,country_code,indicator_name,indicator_code,year,co2_emissions
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0024
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Africa Western and Central,AFW,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0084
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Albania,ALB,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0026
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Arab World,ARB,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.003
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Argentina,ARG,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.011
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Australia,AUS,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0155
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Austria,AUT,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0008
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Azerbaijan,AZE,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0022
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Belgium,BEL,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0214
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Benin,BEN,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0003
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Bulgaria,BGR,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.007
Carbon Dioxide (CO2) Emissions,World Bank Open Data,"Bahamas, The",BHS,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0009
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Bosnia and Herzegovina,BIH,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0037
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Belarus,BLR,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0204
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Bolivia,BOL,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0022
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Brazil,BRA,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.2787
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Brunei Darussalam,BRN,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0017
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Canada,CAN,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.1386
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Central Europe and the Baltics,CEB,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.297
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Switzerland,CHE,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0018
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Chile,CHL,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0072
Carbon Dioxide (CO2) Emissions,World Bank Open Data,China,CHN,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,3.0235
Carbon Dioxide (CO2) Emissions,World Bank Open Data,"Congo, Rep.",COG,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Colombia,COL,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0172
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Caribbean small states,CSS,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0013
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Cuba,CUB,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0005
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Czechia,CZE,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0573
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Germany,DEU,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.1671
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Dominica,DMA,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0001
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Denmark,DNK,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0009
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Dominican Republic,DOM,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0004
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Algeria,DZA,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.002
Carbon Dioxide (CO2) Emissions,World Bank Open Data,East Asia & Pacific (excluding high income),EAP,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,3.5011
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Early-demographic dividend,EAR,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.8671
Carbon Dioxide (CO2) Emissions,World Bank Open Data,East Asia & Pacific,EAS,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,8.9582
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Europe & Central Asia (excluding high income),ECA,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0978
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Europe & Central Asia,ECS,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,3.0652
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Ecuador,ECU,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0041
Carbon Dioxide (CO2) Emissions,World Bank Open Data,"Egypt, Arab Rep.",EGY,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0004
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Euro area,EMU,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,2.1586
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Spain,ESP,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Estonia,EST,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0002
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Ethiopia,ETH,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0012
Carbon Dioxide (CO2) Emissions,World Bank Open Data,European Union,EUU,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,2.5817
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Fragile and conflict affected situations,FCS,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0753
Carbon Dioxide (CO2) Emissions,World Bank Open Data,France,FRA,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,1.8646
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Faroe Islands,FRO,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0019
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Gabon,GAB,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0003
Carbon Dioxide (CO2) Emissions,World Bank Open Data,United Kingdom,GBR,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.2931
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Gibraltar,GIB,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0006
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Greece,GRC,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0038
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Greenland,GRL,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.001
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Guyana,GUY,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0001
Carbon Dioxide (CO2) Emissions,World Bank Open Data,High income,HIC,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,8.5767
Carbon Dioxide (CO2) Emissions,World Bank Open Data,"Hong Kong SAR, China",HKG,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0106
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Honduras,HND,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.027
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Heavily indebted poor countries (HIPC),HPC,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0386
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Croatia,HRV,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0
Carbon Dioxide (CO2) Emissions,World Bank Open Data,Hungary,HUN,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,0.0214
Carbon Dioxide (CO2) Emissions,World Bank Open Data,IBRD only,IBD,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,4.4988
Carbon Dioxide (CO2) Emissions,World Bank Open Data,IDA & IBRD total,IBT,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,2015,4.6046
