sector,source,year,region,m49_code,country,household_kg_per_capita_year,household_tonnes_year,confidence_in_estimate
Household,UNEP Food Waste Index Report 2024,2024,Australia and New Zealand,36,Australia,98,2559065,High Confidence
Household,UNEP Food Waste Index Report 2024,2024,Australia and New Zealand,554,New Zealand,61,316590,High Confidence
Household,UNEP Food Waste Index Report 2024,2024,Central Asia,398,Kazakhstan,88,1708990,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Central Asia,417,Kyrgyzstan,86,568288,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Central Asia,762,Tajikistan,86,852861,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Central Asia,795,Turkmenistan,88,566433,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Central Asia,860,Uzbekistan,86,2968299,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Eastern Asia,156,China,76,108667369,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Eastern Asia,344,"China, Hong Kong SAR",101,759923,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Eastern Asia,446,"China, Macao SAR",76,53016,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Eastern Asia,408,Dem. People's Rep. Korea,81,2104855,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Eastern Asia,392,Japan,60,7398006,High Confidence
Household,UNEP Food Waste Index Report 2024,2024,Eastern Asia,496,Mongolia,18,60364,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Eastern Asia,410,Republic of Korea,95,4921086,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Eastern Europe,112,Belarus,71,674104,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Eastern Europe,100,Bulgaria,26,176280,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Eastern Europe,203,Czechia,69,723810,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Eastern Europe,348,Hungary,66,658020,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Eastern Europe,616,Poland,60,2391600,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Eastern Europe,498,Republic of Moldova,71,231061,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Eastern Europe,642,Romania,67,1323991,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Eastern Europe,643,Russian Federation,33,4829772,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Eastern Europe,703,Slovakia,65,366600,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Eastern Europe,804,Ukraine,69,2758037,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,660,Anguilla,95,1892,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,28,Antigua and Barbuda,88,7922,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,32,Argentina,91,4156798,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,533,Aruba,88,9682,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,44,Bahamas,88,36089,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,52,Barbados,88,24646,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,84,Belize,53,21596,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,68,Bolivia (Plurin. State of),90,1101625,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,535,"Bonaire, St. Eustatius & Saba",95,2838,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,76,Brazil,94,20289630,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,92,British Virgin Islands,88,2641,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,136,Cayman Islands,88,6162,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,152,Chile,88,1725226,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,170,Colombia,70,3653302,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,188,Costa Rica,91,473131,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,192,Cuba,91,1023900,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,531,Curaçao,88,16724,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,212,Dominica,91,6394,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,214,Dominican Republic,160,1799544,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,218,Ecuador,96,1727535,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,222,El Salvador,91,579084,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,238,Falkland Islands (Malvinas),95,,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,254,French Guiana,95,28375,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,308,Grenada,91,11874,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,312,Guadeloupe,95,37834,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,320,Guatemala,91,1629472,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,328,Guyana,88,71298,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,332,Haiti,90,1044831,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,340,Honduras,90,940257,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,388,Jamaica,86,243364,High Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,474,Martinique,95,34996,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,484,Mexico,105,13368447,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,500,Montserrat,95,,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,558,Nicaragua,90,626538,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,591,Panama,101,445347,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,600,Paraguay,91,619272,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,604,Peru,88,2983735,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,630,Puerto Rico,88,286071,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,652,Saint Barthélemy,95,946,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,659,Saint Kitts and Nevis,88,4401,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,662,Saint Lucia,91,16441,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,663,Saint Martin (French part),88,2641,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,670,Saint Vincent & Grenadines,91,9134,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,534,Sint Maarten (Dutch part),88,3521,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,740,Suriname,91,56630,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,780,Trinidad and Tobago,88,134673,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,796,Turks and Caicos Islands,88,4401,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,850,United States Virgin Islands,88,8802,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,858,Uruguay,88,301034,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,862,Venezuela (Boliv. Rep. of),93,2626859,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Melanesia,242,Fiji,90,83945,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Melanesia,540,New Caledonia,87,25215,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Melanesia,598,Papua New Guinea,89,903213,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Melanesia,90,Solomon Islands,43,31242,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Melanesia,548,Vanuatu,141,46687,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,316,Guam,60,10173,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,296,Kiribati,62,8056,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,584,Marshall Islands,63,2526,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,583,Micronesia (Fed. States of),38,4205,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,520,Nauru,60,598,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,580,Northern Mariana Islands,60,2992,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Micronesia,585,Palau,63,1263,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,12,Algeria,113,5057909,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,818,Egypt,163,18085437,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,434,Libya,84,572937,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,504,Morocco,113,4219805,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,729,Sudan,116,5414527,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,788,Tunisia,172,2121810,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Northern Africa,732,Western Sahara,140,80958,Very Low Confidence
