country_unep,household_year,household_region,household_kg_per_capita_year,household_tonnes_year,household_confidence,food_service_year,food_service_kg_per_capita_year,food_service_tonnes_year,food_service_confidence,retail_year,retail_kg_per_capita_year,retail_tonnes_year,retail_confidence,average_temperature,temperature_year,temperature_unit,income_year,income_region,income_group,income_lending_category,gdp_per_capita_year,gdp_per_capita,population_density_year,population_density,tourism_arrivals_year,tourism_arrivals,access_to_electricity_year,access_to_electricity,total_population_year,total_population,total_food_waste_kg_per_capita_year,total_food_waste_tonnes_year,household_share_pct,food_service_share_pct,retail_share_pct,main_contributing_sector,tourists_per_resident,income_rank,population_size_category,temperature_band,gdp_per_capita_category,coverage_score,sector_share_total
Australia,2024,Australia and New Zealand,98,2559065.0,High Confidence,2024,58,1524669.0,High Confidence,2024,21,547033.0,High Confidence,22.31,2024,Celsius,2024,East Asia & Pacific,High Income,,2024,64603.9856308464,2023,3.46591948538875,2020,1828000.0,2023,100.0,2024,27196812.0,177,4630767.0,55.26,32.92,11.81,Household,0.07,4,Medium (10M-50M),Warm (20°C-25°C),High GDP per Capita,9,99.99000000000001
New Zealand,2024,Australia and New Zealand,61,316590.0,High Confidence,2024,39,204552.0,Very Low Confidence,2024,3,16193.0,High Confidence,11.2,2024,Celsius,2024,East Asia & Pacific,High Income,,2024,49205.1792146792,2023,19.7485853176864,2020,996000.0,2023,100.0,2024,5287500.0,103,537335.0,58.92,38.07,3.01,Household,0.19,4,Small (1M-10M),Cool (10°C-20°C),High GDP per Capita,9,100.00000000000001
Kazakhstan,2024,Central Asia,88,1708990.0,Very Low Confidence,2024,31,595583.0,Very Low Confidence,2024,21,408228.0,Very Low Confidence,8.93,2024,Celsius,2024,Europe & Central Asia,Upper Middle Income,IBRD,2024,14154.6324958076,2023,7.53050487091158,2020,2035000.0,2023,100.0,2024,20592571.0,140,2712801.0,63.0,21.95,15.05,Household,0.1,3,Medium (10M-50M),Cold (<10°C),Lower-Middle GDP per Capita,9,100.0
Kyrgyzstan,2024,Central Asia,86,568288.0,Very Low Confidence,2024,31,206441.0,Very Low Confidence,2024,10,64164.0,Very Low Confidence,4.34,2024,Celsius,2024,Europe & Central Asia,Lower Middle Income,IDA,2024,2420.18542283831,2023,37.0164233576642,2019,8508000.0,2023,100.0,2024,7221868.0,127,838893.0,67.74,24.61,7.65,Household,1.18,2,Small (1M-10M),Cold (<10°C),Low GDP per Capita,9,100.0
Tajikistan,2024,Central Asia,86,852861.0,Very Low Confidence,2024,31,309818.0,Very Low Confidence,2024,10,96295.0,Very Low Confidence,5.7,2024,Celsius,2024,Europe & Central Asia,Lower Middle Income,IDA,2024,1341.20229027672,2023,74.8598530153469,2018,1035000.0,2023,100.0,2024,10590927.0,127,1258974.0,67.74,24.61,7.65,Household,0.1,2,Medium (10M-50M),Cold (<10°C),Low GDP per Capita,9,100.0
Turkmenistan,2024,Central Asia,88,566433.0,Very Low Confidence,2024,31,197402.0,Very Low Confidence,2024,21,135304.0,Very Low Confidence,18.3,2024,Celsius,2024,Europe & Central Asia,Upper Middle Income,IBRD,2024,6856.65802730208,2023,15.6713510522844,,,2023,100.0,2024,7494498.0,140,899139.0,63.0,21.95,15.05,Household,,3,Small (1M-10M),Cool (10°C-20°C),Lower-Middle GDP per Capita,8,100.0
Uzbekistan,2024,Central Asia,86,2968299.0,Very Low Confidence,2024,31,1078289.0,Very Low Confidence,2024,10,335145.0,Very Low Confidence,15.64,2024,Celsius,2024,Europe & Central Asia,Lower Middle Income,Blend,2024,3161.70010632875,2023,80.9084466129581,2019,6749000.0,2023,100.0,2024,36361859.0,127,4381733.0,67.74,24.61,7.65,Household,0.19,2,Medium (10M-50M),Cool (10°C-20°C),Low GDP per Capita,9,100.0
China,2024,Eastern Asia,76,108667369.0,Medium Confidence,2024,46,65071246.0,High Confidence,2024,20,28227822.0,Medium Confidence,8.41,2024,Celsius,2024,East Asia & Pacific,Upper Middle Income,IBRD,2024,13303.1481543868,2023,150.264001337848,2020,30402000.0,2023,100.0,2024,1408975000.0,142,201966437.0,53.8,32.22,13.98,Household,0.02,3,Very Large (>100M),Cold (<10°C),Lower-Middle GDP per Capita,9,100.0
"China, Hong Kong SAR",2024,Eastern Asia,101,759923.0,Medium Confidence,2024,25,185069.0,Very Low Confidence,2024,14,102909.0,Very Low Confidence,24.09,2024,Celsius,2024,East Asia & Pacific,High Income,,2024,54074.6928519479,2023,7177.2380952381,2020,3569000.0,2023,100.0,2024,7524100.0,140,1047901.0,72.52,17.66,9.82,Household,0.47,4,Small (1M-10M),Warm (20°C-25°C),High GDP per Capita,9,100.0
"China, Macao SAR",2024,Eastern Asia,76,53016.0,Low Confidence,2024,25,17296.0,Very Low Confidence,2024,14,9618.0,Very Low Confidence,23.84,2024,Celsius,2024,East Asia & Pacific,High Income,,2024,72004.7437020733,2023,20569.696969697,2020,5897000.0,2023,100.0,2024,687000.0,115,79930.0,66.33,21.64,12.03,Household,8.58,4,Very Small (<1M),Warm (20°C-25°C),High GDP per Capita,9,100.0
Dem. People's Rep. Korea,2024,Eastern Asia,81,2104855.0,Low Confidence,2024,30,781678.0,Very Low Confidence,2024,12,312940.0,Very Low Confidence,8.07,2024,Celsius,2024,East Asia & Pacific,Low Income,,,,2023,219.402076239515,,,2023,57.5,2024,26498823.0,123,3199473.0,65.79,24.43,9.78,Household,,1,Medium (10M-50M),Cold (<10°C),,7,100.0
Japan,2024,Eastern Asia,60,7398006.0,High Confidence,2024,12,1490488.0,High Confidence,2024,9,1098567.0,High Confidence,13.0,2024,Celsius,2024,East Asia & Pacific,High Income,,2024,32487.0778047567,2023,341.54455749932,2020,4115799.8046875,2023,100.0,2024,123975371.0,81,9987061.0,74.08,14.92,11.0,Household,0.03,4,Very Large (>100M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.0
Mongolia,2024,Eastern Asia,18,60364.0,Medium Confidence,2024,30,101945.0,Very Low Confidence,2024,12,40813.0,Very Low Confidence,1.82,2024,Celsius,2024,East Asia & Pacific,Upper Middle Income,IBRD,2024,6750.6301157724,2023,2.23365125312889,2020,66900.0015258789,2023,100.0,2024,3524788.0,60,203122.0,29.72,50.19,20.09,Food Service,0.02,3,Small (1M-10M),Cold (<10°C),Lower-Middle GDP per Capita,9,100.0
Republic of Korea,2024,Eastern Asia,95,4921086.0,Medium Confidence,2024,25,1280410.0,Very Low Confidence,2024,14,711981.0,Very Low Confidence,13.32,2024,Celsius,2024,East Asia & Pacific,High Income,,2024,36238.639908315,2023,529.842407786885,2020,2519000.0,2023,100.0,2024,51751065.0,134,6913477.0,71.18,18.52,10.3,Household,0.05,4,Large (50M-100M),Cool (10°C-20°C),High GDP per Capita,9,100.0
Belarus,2024,Eastern Europe,71,674104.0,Low Confidence,2024,17,164273.0,Low Confidence,2024,14,129564.0,Low Confidence,8.82,2024,Celsius,2024,Europe & Central Asia,Upper Middle Income,IBRD,2024,8317.63399913792,2023,45.217077292187,2020,3598000.0,2023,100.0,2024,9132629.0,102,967941.0,69.64,16.97,13.39,Household,0.39,3,Small (1M-10M),Cold (<10°C),Lower-Middle GDP per Capita,9,100.0
Bulgaria,2024,Eastern Europe,26,176280.0,Eurostat,2024,2,13560.0,Eurostat,2024,2,13560.0,Eurostat,13.05,2024,Celsius,2024,Europe & Central Asia,High Income,IBRD,2024,17596.0173663521,2023,59.3827929255711,2020,4973000.0,2023,100.0,2024,6441421.0,30,203400.0,86.67,6.67,6.67,Household,0.77,4,Small (1M-10M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.01
Czechia,2024,Eastern Europe,69,723810.0,Eurostat,2024,4,41960.0,Eurostat,2024,6,62940.0,Eurostat,10.06,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,31823.3078290564,2023,140.785547662605,2019,37202000.0,2023,100.0,2024,10905028.0,79,828710.0,87.34,5.06,7.59,Household,3.41,4,Medium (10M-50M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,99.99000000000001
Hungary,2024,Eastern Europe,66,658020.0,Eurostat,2024,2,19940.0,Eurostat,2024,4,39880.0,Eurostat,13.1,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,23292.3263882478,2023,105.108327854482,2020,31641000.0,2023,100.0,2024,9562065.0,72,717840.0,91.67,2.78,5.56,Household,3.31,4,Small (1M-10M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.01
