country_unep,household_year,household_region,household_kg_per_capita_year,household_tonnes_year,household_confidence,food_service_year,food_service_kg_per_capita_year,food_service_tonnes_year,food_service_confidence,retail_year,retail_kg_per_capita_year,retail_tonnes_year,retail_confidence,average_temperature,temperature_year,temperature_unit,income_year,income_region,income_group,income_lending_category,gdp_per_capita_year,gdp_per_capita,population_density_year,population_density,tourism_arrivals_year,tourism_arrivals,access_to_electricity_year,access_to_electricity,total_population_year,total_population,total_food_waste_kg_per_capita_year,total_food_waste_tonnes_year,household_share_pct,food_service_share_pct,retail_share_pct,main_contributing_sector,tourists_per_resident,income_rank,population_size_category,temperature_band,gdp_per_capita_category,coverage_score,sector_share_total,log_gdp_per_capita,log_population_density,log_tourism_arrivals,log_total_population
Australia,2024,Australia and New Zealand,98,2559065.0,High Confidence,2024,58,1524669.0,High Confidence,2024,21,547033.0,High Confidence,22.31,2024.0,Celsius,2024.0,East Asia & Pacific,High Income,,2024.0,64603.9856308464,2023.0,3.46591948538875,2020.0,1828000.0,2023.0,100.0,2024.0,27196812.0,177,4630767.0,55.26,32.92,11.81,Household,0.07,4.0,Medium (10M-50M),Warm (20°C-25°C),High GDP per Capita,9,99.99,11.076046863740793,1.49647512490542,14.418733578042035,17.118610355283742
New Zealand,2024,Australia and New Zealand,61,316590.0,High Confidence,2024,39,204552.0,Very Low Confidence,2024,3,16193.0,High Confidence,11.2,2024.0,Celsius,2024.0,East Asia & Pacific,High Income,,2024.0,49205.1792146792,2023.0,19.7485853176864,2020.0,996000.0,2023.0,100.0,2024.0,5287500.0,103,537335.0,58.92,38.07,3.01,Household,0.19,4.0,Small (1M-10M),Cool (10°C-20°C),High GDP per Capita,9,100.0,10.803774488388452,3.0324780668916222,13.811503540582295,15.480856291461949
Kazakhstan,2024,Central Asia,88,1708990.0,Very Low Confidence,2024,31,595583.0,Very Low Confidence,2024,21,408228.0,Very Low Confidence,8.93,2024.0,Celsius,2024.0,Europe & Central Asia,Upper Middle Income,IBRD,2024.0,14154.6324958076,2023.0,7.53050487091158,2020.0,2035000.0,2023.0,100.0,2024.0,20592571.0,140,2712801.0,63.0,21.95,15.05,Household,0.1,3.0,Medium (10M-50M),Cold (<10°C),Lower-Middle GDP per Capita,9,100.0,9.557867880108835,2.1436485474322042,14.526006868259204,16.840440986210027
Kyrgyzstan,2024,Central Asia,86,568288.0,Very Low Confidence,2024,31,206441.0,Very Low Confidence,2024,10,64164.0,Very Low Confidence,4.34,2024.0,Celsius,2024.0,Europe & Central Asia,Lower Middle Income,IDA,2024.0,2420.18542283831,2023.0,37.0164233576642,2019.0,8508000.0,2023.0,100.0,2024.0,7221868.0,127,838893.0,67.74,24.61,7.65,Household,1.18,2.0,Small (1M-10M),Cold (<10°C),Low GDP per Capita,9,100.0,7.792012543364314,3.6380182599803654,15.956517572838694,15.792624341635364
Tajikistan,2024,Central Asia,86,852861.0,Very Low Confidence,2024,31,309818.0,Very Low Confidence,2024,10,96295.0,Very Low Confidence,5.7,2024.0,Celsius,2024.0,Europe & Central Asia,Lower Middle Income,IDA,2024.0,1341.20229027672,2023.0,74.8598530153469,2018.0,1035000.0,2023.0,100.0,2024.0,10590927.0,127,1258974.0,67.74,24.61,7.65,Household,0.1,2.0,Medium (10M-50M),Cold (<10°C),Low GDP per Capita,9,100.0,7.202067044082927,4.32888759868106,13.849912950864715,16.17550834357779
Turkmenistan,2024,Central Asia,88,566433.0,Very Low Confidence,2024,31,197402.0,Very Low Confidence,2024,21,135304.0,Very Low Confidence,18.3,2024.0,Celsius,2024.0,Europe & Central Asia,Upper Middle Income,IBRD,2024.0,6856.65802730208,2023.0,15.6713510522844,,,2023.0,100.0,2024.0,7494498.0,140,899139.0,63.0,21.95,15.05,Household,,3.0,Small (1M-10M),Cool (10°C-20°C),Lower-Middle GDP per Capita,8,100.0,8.833121266994228,2.8136917404062562,,15.829679842721596
Uzbekistan,2024,Central Asia,86,2968299.0,Very Low Confidence,2024,31,1078289.0,Very Low Confidence,2024,10,335145.0,Very Low Confidence,15.64,2024.0,Celsius,2024.0,Europe & Central Asia,Lower Middle Income,Blend,2024.0,3161.70010632875,2023.0,80.9084466129581,2019.0,6749000.0,2023.0,100.0,2024.0,36361859.0,127,4381733.0,67.74,24.61,7.65,Household,0.19,2.0,Medium (10M-50M),Cool (10°C-20°C),Low GDP per Capita,9,100.0,8.059181405762473,4.405602118788508,15.724905051895632,17.409030981080686
China,2024,Eastern Asia,76,108667369.0,Medium Confidence,2024,46,65071246.0,High Confidence,2024,20,28227822.0,Medium Confidence,8.41,2024.0,Celsius,2024.0,East Asia & Pacific,Upper Middle Income,IBRD,2024.0,13303.1481543868,2023.0,150.264001337848,2020.0,30402000.0,2023.0,100.0,2024.0,1408975000.0,142,201966437.0,53.8,32.22,13.98,Household,0.02,3.0,Very Large (>100M),Cold (<10°C),Lower-Middle GDP per Capita,9,100.0,9.49583115688914,5.019026663455283,17.230018986578674,21.066128327335083
"China, Hong Kong SAR",2024,Eastern Asia,101,759923.0,Medium Confidence,2024,25,185069.0,Very Low Confidence,2024,14,102909.0,Very Low Confidence,24.09,2024.0,Celsius,2024.0,East Asia & Pacific,High Income,,2024.0,54074.6928519479,2023.0,7177.2380952381,2020.0,3569000.0,2023.0,100.0,2024.0,7524100.0,140,1047901.0,72.52,17.66,9.82,Household,0.47,4.0,Small (1M-10M),Warm (20°C-25°C),High GDP per Capita,9,100.0,10.898140063535253,8.8788092412937,15.087796282662788,15.833621893023754
"China, Macao SAR",2024,Eastern Asia,76,53016.0,Low Confidence,2024,25,17296.0,Very Low Confidence,2024,14,9618.0,Very Low Confidence,23.84,2024.0,Celsius,2024.0,East Asia & Pacific,High Income,,2024.0,72004.7437020733,2023.0,20569.696969697,2020.0,5897000.0,2023.0,100.0,2024.0,687000.0,115,79930.0,66.33,21.64,12.03,Household,8.58,4.0,Very Small (<1M),Warm (20°C-25°C),High GDP per Capita,9,100.0,11.184501168456352,9.93162286489735,15.589954474560379,13.440091026807503
Dem. People's Rep. Korea,2024,Eastern Asia,81,2104855.0,Low Confidence,2024,30,781678.0,Very Low Confidence,2024,12,312940.0,Very Low Confidence,8.07,2024.0,Celsius,2024.0,East Asia & Pacific,Low Income,,,,2023.0,219.402076239515,,,2023.0,57.5,2024.0,26498823.0,123,3199473.0,65.79,24.43,9.78,Household,,1.0,Medium (10M-50M),Cold (<10°C),,7,100.0,,5.395453497558867,,17.092610912613257
