data,source,country_name,country_code,indicator_name,indicator_code,year,population_density
Population Density,World Bank Open Data,Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,2015,599.477777777778
Population Density,World Bank Open Data,Africa Eastern and Southern,AFE,Population density (people per sq. km of land area),EN.POP.DNST,2015,40.8971995109358
Population Density,World Bank Open Data,Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,2015,51.8709105683578
Population Density,World Bank Open Data,Africa Western and Central,AFW,Population density (people per sq. km of land area),EN.POP.DNST,2015,46.2235257766605
Population Density,World Bank Open Data,Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,2015,22.5858650838213
Population Density,World Bank Open Data,Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,2015,99.6822262773723
Population Density,World Bank Open Data,Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,2015,153.56170212766
Population Density,World Bank Open Data,Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,2015,31.3110035717644
Population Density,World Bank Open Data,United Arab Emirates,ARE,Population density (people per sq. km of land area),EN.POP.DNST,2015,119.75833568009
Population Density,World Bank Open Data,Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,2015,15.8867142423877
Population Density,World Bank Open Data,Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,2015,105.535651563049
Population Density,World Bank Open Data,American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,2015,264.39
Population Density,World Bank Open Data,Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,2015,203.202272727273
Population Density,World Bank Open Data,Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,2015,3.10011259648803
Population Density,World Bank Open Data,Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,2015,104.734597673291
Population Density,World Bank Open Data,Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,2015,116.731076781631
Population Density,World Bank Open Data,Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,2015,430.201713395639
Population Density,World Bank Open Data,Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,2015,371.680875614018
Population Density,World Bank Open Data,Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,2015,100.750984391628
Population Density,World Bank Open Data,Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,2015,68.6311659356725
Population Density,World Bank Open Data,Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,2015,1224.42328493508
Population Density,World Bank Open Data,Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,2015,64.3351602800295
