sector,source,year,region,m49_code,country,food_service_kg_per_capita_year,food_service_tonnes_year,confidence_in_estimate
Food Service,UNEP Food Waste Index Report 2024,2024,Australia and New Zealand,36,Australia,58,1524669,High Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Australia and New Zealand,554,New Zealand,39,204552,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Central Asia,398,Kazakhstan,31,595583,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Central Asia,417,Kyrgyzstan,31,206441,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Central Asia,762,Tajikistan,31,309818,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Central Asia,795,Turkmenistan,31,197402,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Central Asia,860,Uzbekistan,31,1078289,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Asia,156,China,46,65071246,High Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Asia,344,"China, Hong Kong SAR",25,185069,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Asia,446,"China, Macao SAR",25,17296,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Asia,408,Dem. People's Rep. Korea,30,781678,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Asia,392,Japan,12,1490488,High Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Asia,496,Mongolia,30,101945,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Asia,410,Republic of Korea,25,1280410,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Europe,112,Belarus,17,164273,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Europe,100,Bulgaria,2,13560,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Europe,203,Czechia,4,41960,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Europe,348,Hungary,2,19940,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Europe,616,Poland,5,199300,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Europe,498,Republic of Moldova,17,56308,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Europe,642,Romania,12,239125,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Europe,643,Russian Federation,8,1220199,Medium Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Europe,703,Slovakia,1,5640,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Eastern Europe,804,Ukraine,17,692291,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,660,Anguilla,23,456,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,28,Antigua and Barbuda,42,3824,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,32,Argentina,48,2163862,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,533,Aruba,42,4674,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,44,Bahamas,42,17421,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,52,Barbados,42,11897,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,84,Belize,48,19494,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,68,Bolivia (Plurin. State of),48,583696,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,535,"Bonaire, St. Eustatius & Saba",23,685,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,76,Brazil,48,10237337,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,92,British Virgin Islands,42,1275,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,136,Cayman Islands,42,2974,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,152,Chile,42,832815,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,170,Colombia,48,2466261,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,188,Costa Rica,48,246293,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,192,Cuba,48,533001,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,531,Curaçao,42,8073,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,212,Dominica,48,3328,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,214,Dominican Republic,48,533952,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,218,Ecuador,48,855845,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,222,El Salvador,48,301448,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,238,Falkland Islands (Malvinas),23,,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,254,French Guiana,23,6845,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,308,Grenada,48,6181,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,312,Guadeloupe,23,9127,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,320,Guatemala,48,848238,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,328,Guyana,42,34417,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,332,Haiti,48,553603,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,340,Honduras,48,498195,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,388,Jamaica,48,134558,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,474,Martinique,23,8443,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Latin America and the Caribbean,484,Mexico,64,8210204,Medium Confidence
