data,source,year,economy,code,region,income_group,lending_category
Income Group,World Bank Open Data,2024,Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low Income,IDA
Income Group,World Bank Open Data,2024,Albania,ALB,Europe & Central Asia,Upper Middle Income,IBRD
Income Group,World Bank Open Data,2024,Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper Middle Income,IBRD
Income Group,World Bank Open Data,2024,American Samoa,ASM,East Asia & Pacific,High Income,
Income Group,World Bank Open Data,2024,Andorra,AND,Europe & Central Asia,High Income,
Income Group,World Bank Open Data,2024,Angola,AGO,Sub-Saharan Africa,Lower Middle Income,IBRD
Income Group,World Bank Open Data,2024,Antigua and Barbuda,ATG,Latin America & Caribbean,High Income,IBRD
Income Group,World Bank Open Data,2024,Argentina,ARG,Latin America & Caribbean,Upper Middle Income,IBRD
Income Group,World Bank Open Data,2024,Armenia,ARM,Europe & Central Asia,Upper Middle Income,IBRD
Income Group,World Bank Open Data,2024,Aruba,ABW,Latin America & Caribbean,High Income,
Income Group,World Bank Open Data,2024,Australia,AUS,East Asia & Pacific,High Income,
Income Group,World Bank Open Data,2024,Austria,AUT,Europe & Central Asia,High Income,
Income Group,World Bank Open Data,2024,Azerbaijan,AZE,Europe & Central Asia,Upper Middle Income,IBRD
Income Group,World Bank Open Data,2024,"Bahamas, The",BHS,Latin America & Caribbean,High Income,
Income Group,World Bank Open Data,2024,Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",High Income,
Income Group,World Bank Open Data,2024,Bangladesh,BGD,South Asia,Lower Middle Income,IDA
Income Group,World Bank Open Data,2024,Barbados,BRB,Latin America & Caribbean,High Income,IBRD
Income Group,World Bank Open Data,2024,Belarus,BLR,Europe & Central Asia,Upper Middle Income,IBRD
Income Group,World Bank Open Data,2024,Belgium,BEL,Europe & Central Asia,High Income,
Income Group,World Bank Open Data,2024,Belize,BLZ,Latin America & Caribbean,Upper Middle Income,Blend
Income Group,World Bank Open Data,2024,Benin,BEN,Sub-Saharan Africa,Lower Middle Income,IDA
Income Group,World Bank Open Data,2024,Bermuda,BMU,North America,High Income,
Income Group,World Bank Open Data,2024,Bhutan,BTN,South Asia,Lower Middle Income,IDA
Income Group,World Bank Open Data,2024,Bolivia,BOL,Latin America & Caribbean,Lower Middle Income,IBRD
Income Group,World Bank Open Data,2024,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper Middle Income,IBRD
Income Group,World Bank Open Data,2024,Botswana,BWA,Sub-Saharan Africa,Upper Middle Income,IBRD
Income Group,World Bank Open Data,2024,Brazil,BRA,Latin America & Caribbean,Upper Middle Income,IBRD
Income Group,World Bank Open Data,2024,British Virgin Islands,VGB,Latin America & Caribbean,High Income,
Income Group,World Bank Open Data,2024,Brunei Darussalam,BRN,East Asia & Pacific,High Income,
Income Group,World Bank Open Data,2024,Bulgaria,BGR,Europe & Central Asia,High Income,IBRD
