data,source,year,country,average_temperature,reference_date,unit
Average Temperature,Trading Economics,2024,Afghanistan,14.61,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Albania,13.86,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Algeria,23.99,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,American Samoa,27.5,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Andorra,9.56,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Angola,21.56,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Antigua and Barbuda,27.75,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Argentina,15.95,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Armenia,9.02,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Aruba,29.45,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Australia,22.31,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Austria,8.84,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Azerbaijan,14.21,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Bahamas,26.54,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Bahrain,28.88,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Bangladesh,26.02,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Barbados,26.88,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Belarus,8.82,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Belgium,11.92,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Belize,26.43,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Benin,28.58,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Bhutan,10.72,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Bolivia,21.96,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Bosnia and Herzegovina,11.78,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Botswana,22.18,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Brazil,25.92,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Bulgaria,13.05,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Burkina Faso,29.98,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Burundi,20.83,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Cambodia,27.98,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Cameroon,25.03,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Canada,-2.89,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Cape Verde,23.08,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Cayman Islands,28.64,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Central African Republic,25.42,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Chad,27.49,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Chile,10.06,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,China,8.41,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Colombia,25.32,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Comoros,24.37,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Congo,24.37,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Costa Rica,25.41,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Croatia,13.42,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Cuba,26.69,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Cyprus,19.87,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Czech Republic,10.06,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Denmark,9.56,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Djibouti,28.6,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Dominica,27.2,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Dominican Republic,25.26,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Ecuador,22.29,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Egypt,23.95,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,El Salvador,25.86,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Equatorial Guinea,24.76,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Eritrea,26.87,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Estonia,6.91,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Ethiopia,23.75,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Faroe Islands,6.78,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Fiji,25.2,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Finland,2.87,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,France,13.02,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,French Polynesia,24.71,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Gabon,25.25,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Gambia,29.15,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Georgia,10.39,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Germany,10.89,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Ghana,28.27,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Greece,15.71,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Greenland,-18.47,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Grenada,26.76,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Guam,27.67,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Guatemala,24.38,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Guinea,26.59,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Guinea Bissau,28.68,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Guyana,26.64,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Haiti,25.59,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Honduras,25.4,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Hong Kong,24.09,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Hungary,13.1,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Iceland,1.77,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,India,25.03,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Indonesia,26.16,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Iran,19.61,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Iraq,24.06,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Ireland,10.65,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Isle of Man,9.92,2021-12-31,Celsius
Average Temperature,Trading Economics,2024,Israel,21.02,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Italy,14.39,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Ivory Coast,27.32,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Jamaica,26.62,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Japan,13.0,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Jordan,20.44,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Kazakhstan,8.93,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Kenya,25.55,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Kiribati,27.79,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Kuwait,27.53,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Kyrgyzstan,4.34,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Laos,24.93,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Latvia,7.86,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Lebanon,16.32,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Lesotho,12.83,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Liberia,25.89,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Libya,22.95,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Liechtenstein,9.12,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Lithuania,8.58,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Luxembourg,11.34,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Macau,23.84,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Macedonia,12.26,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Madagascar,23.09,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Malawi,22.94,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Malaysia,26.78,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Maldives,28.18,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Mali,29.71,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Malta,20.27,2024-12-31,Celsius
Average Temperature,Trading Economics,2024,Marshall Islands,28.3,2024-12-31,Celsius
