data,source,country_name,country_code,indicator_name,indicator_code,year,population_total
Total Population,World Bank Open Data,Aruba,ABW,"Population, total",SP.POP.TOTL,2015,107906.0
Total Population,World Bank Open Data,Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,2015,607123269.0
Total Population,World Bank Open Data,Afghanistan,AFG,"Population, total",SP.POP.TOTL,2015,33831764.0
Total Population,World Bank Open Data,Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,2015,418127845.0
Total Population,World Bank Open Data,Angola,AGO,"Population, total",SP.POP.TOTL,2015,28157798.0
Total Population,World Bank Open Data,Albania,ALB,"Population, total",SP.POP.TOTL,2015,2731293.0
Total Population,World Bank Open Data,Andorra,AND,"Population, total",SP.POP.TOTL,2015,72174.0
Total Population,World Bank Open Data,Arab World,ARB,"Population, total",SP.POP.TOTL,2015,410190679.0
Total Population,World Bank Open Data,United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,2015,8505237.0
Total Population,World Bank Open Data,Argentina,ARG,"Population, total",SP.POP.TOTL,2015,43477012.0
Total Population,World Bank Open Data,Armenia,ARM,"Population, total",SP.POP.TOTL,2015,3004600.0
Total Population,World Bank Open Data,American Samoa,ASM,"Population, total",SP.POP.TOTL,2015,52878.0
Total Population,World Bank Open Data,Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2015,89409.0
Total Population,World Bank Open Data,Australia,AUS,"Population, total",SP.POP.TOTL,2015,23815995.0
Total Population,World Bank Open Data,Austria,AUT,"Population, total",SP.POP.TOTL,2015,8642699.0
Total Population,World Bank Open Data,Azerbaijan,AZE,"Population, total",SP.POP.TOTL,2015,9649341.0
Total Population,World Bank Open Data,Burundi,BDI,"Population, total",SP.POP.TOTL,2015,11047580.0
Total Population,World Bank Open Data,Belgium,BEL,"Population, total",SP.POP.TOTL,2015,11274196.0
Total Population,World Bank Open Data,Benin,BEN,"Population, total",SP.POP.TOTL,2015,11360681.0
Total Population,World Bank Open Data,Burkina Faso,BFA,"Population, total",SP.POP.TOTL,2015,18777487.0
Total Population,World Bank Open Data,Bangladesh,BGD,"Population, total",SP.POP.TOTL,2015,159383179.0
Total Population,World Bank Open Data,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2015,6984225.0
Total Population,World Bank Open Data,Bahrain,BHR,"Population, total",SP.POP.TOTL,2015,1370322.0
Total Population,World Bank Open Data,"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,2015,385346.0
Total Population,World Bank Open Data,Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,2015,3518541.0
Total Population,World Bank Open Data,Belarus,BLR,"Population, total",SP.POP.TOTL,2015,9461076.0
Total Population,World Bank Open Data,Belize,BLZ,"Population, total",SP.POP.TOTL,2015,356333.0
Total Population,World Bank Open Data,Bermuda,BMU,"Population, total",SP.POP.TOTL,2015,63464.0
Total Population,World Bank Open Data,Bolivia,BOL,"Population, total",SP.POP.TOTL,2015,11014705.0
Total Population,World Bank Open Data,Brazil,BRA,"Population, total",SP.POP.TOTL,2015,201675532.0
Total Population,World Bank Open Data,Barbados,BRB,"Population, total",SP.POP.TOTL,2015,278990.0
Total Population,World Bank Open Data,Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,2015,422212.0
Total Population,World Bank Open Data,Bhutan,BTN,"Population, total",SP.POP.TOTL,2015,740618.0
Total Population,World Bank Open Data,Botswana,BWA,"Population, total",SP.POP.TOTL,2015,2203273.0
Total Population,World Bank Open Data,Central African Republic,CAF,"Population, total",SP.POP.TOTL,2015,4629320.0
Total Population,World Bank Open Data,Canada,CAN,"Population, total",SP.POP.TOTL,2015,35704498.0
Total Population,World Bank Open Data,Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,2015,102973167.0
Total Population,World Bank Open Data,Switzerland,CHE,"Population, total",SP.POP.TOTL,2015,8282396.0
Total Population,World Bank Open Data,Channel Islands,CHI,"Population, total",SP.POP.TOTL,2015,163454.0
Total Population,World Bank Open Data,Chile,CHL,"Population, total",SP.POP.TOTL,2015,18047625.0
Total Population,World Bank Open Data,China,CHN,"Population, total",SP.POP.TOTL,2015,1379860000.0
Total Population,World Bank Open Data,Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,2015,25246342.0
Total Population,World Bank Open Data,Cameroon,CMR,"Population, total",SP.POP.TOTL,2015,22763414.0
Total Population,World Bank Open Data,"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,2015,81035531.0
Total Population,World Bank Open Data,"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,2015,5097581.0
Total Population,World Bank Open Data,Colombia,COL,"Population, total",SP.POP.TOTL,2015,46969940.0
Total Population,World Bank Open Data,Comoros,COM,"Population, total",SP.POP.TOTL,2015,726682.0
Total Population,World Bank Open Data,Cabo Verde,CPV,"Population, total",SP.POP.TOTL,2015,512394.0
