data,source,country_name,country_code,indicator_name,indicator_code,year,tourism_arrivals
International Tourism Arrivals,World Bank Open Data,Aruba,ABW,"International tourism, number of arrivals",ST.INT.ARVL,2015,1832000.0
International Tourism Arrivals,World Bank Open Data,Africa Eastern and Southern,AFE,"International tourism, number of arrivals",ST.INT.ARVL,2015,35318681.4645499
International Tourism Arrivals,World Bank Open Data,Africa Western and Central,AFW,"International tourism, number of arrivals",ST.INT.ARVL,2015,13311681.7254405
International Tourism Arrivals,World Bank Open Data,Angola,AGO,"International tourism, number of arrivals",ST.INT.ARVL,2015,592000.0
International Tourism Arrivals,World Bank Open Data,Albania,ALB,"International tourism, number of arrivals",ST.INT.ARVL,2015,4131000.0
International Tourism Arrivals,World Bank Open Data,Andorra,AND,"International tourism, number of arrivals",ST.INT.ARVL,2015,7850000.0
International Tourism Arrivals,World Bank Open Data,Arab World,ARB,"International tourism, number of arrivals",ST.INT.ARVL,2015,122563985.747808
International Tourism Arrivals,World Bank Open Data,United Arab Emirates,ARE,"International tourism, number of arrivals",ST.INT.ARVL,2015,19313000.0
International Tourism Arrivals,World Bank Open Data,Argentina,ARG,"International tourism, number of arrivals",ST.INT.ARVL,2015,6816000.0
International Tourism Arrivals,World Bank Open Data,Armenia,ARM,"International tourism, number of arrivals",ST.INT.ARVL,2015,1192000.0
International Tourism Arrivals,World Bank Open Data,American Samoa,ASM,"International tourism, number of arrivals",ST.INT.ARVL,2015,20299.9992370605
International Tourism Arrivals,World Bank Open Data,Antigua and Barbuda,ATG,"International tourism, number of arrivals",ST.INT.ARVL,2015,894000.0
International Tourism Arrivals,World Bank Open Data,Australia,AUS,"International tourism, number of arrivals",ST.INT.ARVL,2015,7449000.0
International Tourism Arrivals,World Bank Open Data,Austria,AUT,"International tourism, number of arrivals",ST.INT.ARVL,2015,26728000.0
International Tourism Arrivals,World Bank Open Data,Azerbaijan,AZE,"International tourism, number of arrivals",ST.INT.ARVL,2015,2006000.0
International Tourism Arrivals,World Bank Open Data,Burundi,BDI,"International tourism, number of arrivals",ST.INT.ARVL,2015,131000.0
International Tourism Arrivals,World Bank Open Data,Belgium,BEL,"International tourism, number of arrivals",ST.INT.ARVL,2015,8355000.0
International Tourism Arrivals,World Bank Open Data,Benin,BEN,"International tourism, number of arrivals",ST.INT.ARVL,2015,279000.0
International Tourism Arrivals,World Bank Open Data,Burkina Faso,BFA,"International tourism, number of arrivals",ST.INT.ARVL,2015,163000.0
International Tourism Arrivals,World Bank Open Data,Bangladesh,BGD,"International tourism, number of arrivals",ST.INT.ARVL,2015,126000.0
International Tourism Arrivals,World Bank Open Data,Bulgaria,BGR,"International tourism, number of arrivals",ST.INT.ARVL,2015,9317000.0
International Tourism Arrivals,World Bank Open Data,Bahrain,BHR,"International tourism, number of arrivals",ST.INT.ARVL,2015,9670000.0
International Tourism Arrivals,World Bank Open Data,"Bahamas, The",BHS,"International tourism, number of arrivals",ST.INT.ARVL,2015,6112000.0
International Tourism Arrivals,World Bank Open Data,Bosnia and Herzegovina,BIH,"International tourism, number of arrivals",ST.INT.ARVL,2015,678000.0
International Tourism Arrivals,World Bank Open Data,Belarus,BLR,"International tourism, number of arrivals",ST.INT.ARVL,2015,4386000.0
International Tourism Arrivals,World Bank Open Data,Belize,BLZ,"International tourism, number of arrivals",ST.INT.ARVL,2015,1299000.0
International Tourism Arrivals,World Bank Open Data,Bermuda,BMU,"International tourism, number of arrivals",ST.INT.ARVL,2015,597000.0
International Tourism Arrivals,World Bank Open Data,Bolivia,BOL,"International tourism, number of arrivals",ST.INT.ARVL,2015,882000.0
International Tourism Arrivals,World Bank Open Data,Brazil,BRA,"International tourism, number of arrivals",ST.INT.ARVL,2015,6306000.0
International Tourism Arrivals,World Bank Open Data,Barbados,BRB,"International tourism, number of arrivals",ST.INT.ARVL,2015,1179000.0
International Tourism Arrivals,World Bank Open Data,Bhutan,BTN,"International tourism, number of arrivals",ST.INT.ARVL,2015,155000.0
International Tourism Arrivals,World Bank Open Data,Botswana,BWA,"International tourism, number of arrivals",ST.INT.ARVL,2015,1660000.0
International Tourism Arrivals,World Bank Open Data,Central African Republic,CAF,"International tourism, number of arrivals",ST.INT.ARVL,2015,120500.0
International Tourism Arrivals,World Bank Open Data,Canada,CAN,"International tourism, number of arrivals",ST.INT.ARVL,2015,27555000.0
International Tourism Arrivals,World Bank Open Data,Central Europe and the Baltics,CEB,"International tourism, number of arrivals",ST.INT.ARVL,2015,265484205.126514
International Tourism Arrivals,World Bank Open Data,Switzerland,CHE,"International tourism, number of arrivals",ST.INT.ARVL,2015,9305000.0
International Tourism Arrivals,World Bank Open Data,Chile,CHL,"International tourism, number of arrivals",ST.INT.ARVL,2015,5487000.0
International Tourism Arrivals,World Bank Open Data,China,CHN,"International tourism, number of arrivals",ST.INT.ARVL,2015,133820000.0
International Tourism Arrivals,World Bank Open Data,Cote d'Ivoire,CIV,"International tourism, number of arrivals",ST.INT.ARVL,2015,1441000.0
International Tourism Arrivals,World Bank Open Data,Cameroon,CMR,"International tourism, number of arrivals",ST.INT.ARVL,2015,897000.0
International Tourism Arrivals,World Bank Open Data,"Congo, Dem. Rep.",COD,"International tourism, number of arrivals",ST.INT.ARVL,2015,354000.0
International Tourism Arrivals,World Bank Open Data,"Congo, Rep.",COG,"International tourism, number of arrivals",ST.INT.ARVL,2015,224000.0
International Tourism Arrivals,World Bank Open Data,Colombia,COL,"International tourism, number of arrivals",ST.INT.ARVL,2015,3371000.0
International Tourism Arrivals,World Bank Open Data,Comoros,COM,"International tourism, number of arrivals",ST.INT.ARVL,2015,23600.0003814697
International Tourism Arrivals,World Bank Open Data,Cabo Verde,CPV,"International tourism, number of arrivals",ST.INT.ARVL,2015,520000.0
International Tourism Arrivals,World Bank Open Data,Costa Rica,CRI,"International tourism, number of arrivals",ST.INT.ARVL,2015,2899000.0
International Tourism Arrivals,World Bank Open Data,Caribbean small states,CSS,"International tourism, number of arrivals",ST.INT.ARVL,2015,17200000.0
International Tourism Arrivals,World Bank Open Data,Cuba,CUB,"International tourism, number of arrivals",ST.INT.ARVL,2015,3540000.0
International Tourism Arrivals,World Bank Open Data,Curacao,CUW,"International tourism, number of arrivals",ST.INT.ARVL,2015,1072000.0
International Tourism Arrivals,World Bank Open Data,Cayman Islands,CYM,"International tourism, number of arrivals",ST.INT.ARVL,2015,2102000.0
International Tourism Arrivals,World Bank Open Data,Cyprus,CYP,"International tourism, number of arrivals",ST.INT.ARVL,2015,2780000.0
International Tourism Arrivals,World Bank Open Data,Czechia,CZE,"International tourism, number of arrivals",ST.INT.ARVL,2015,29604000.0
International Tourism Arrivals,World Bank Open Data,Germany,DEU,"International tourism, number of arrivals",ST.INT.ARVL,2015,34970000.0
International Tourism Arrivals,World Bank Open Data,Dominica,DMA,"International tourism, number of arrivals",ST.INT.ARVL,2015,358000.0
International Tourism Arrivals,World Bank Open Data,Denmark,DNK,"International tourism, number of arrivals",ST.INT.ARVL,2015,28209000.0
International Tourism Arrivals,World Bank Open Data,Dominican Republic,DOM,"International tourism, number of arrivals",ST.INT.ARVL,2015,6129000.0
International Tourism Arrivals,World Bank Open Data,Algeria,DZA,"International tourism, number of arrivals",ST.INT.ARVL,2015,1710000.0
International Tourism Arrivals,World Bank Open Data,East Asia & Pacific (excluding high income),EAP,"International tourism, number of arrivals",ST.INT.ARVL,2015,232372388.217065
