Country,Previous ,Reference,Unit
Afghanistan,14.61,24-Dec,celsius
Albania,13.86,24-Dec,celsius
Algeria,23.99,24-Dec,celsius
American Samoa,27.5,24-Dec,celsius
Andorra,9.56,24-Dec,celsius
Angola,21.56,24-Dec,celsius
Antigua and Barbuda,27.75,24-Dec,celsius
Argentina,15.95,24-Dec,celsius
Armenia,9.02,24-Dec,celsius
Aruba,29.45,24-Dec,celsius
Australia,22.31,24-Dec,celsius
Austria,8.84,24-Dec,celsius
Azerbaijan,14.21,24-Dec,celsius
Bahamas,26.54,24-Dec,celsius
Bahrain,28.88,24-Dec,celsius
Bangladesh,26.02,24-Dec,celsius
Barbados,26.88,24-Dec,celsius
Belarus,8.82,24-Dec,celsius
Belgium,11.92,24-Dec,celsius
Belize,26.43,24-Dec,celsius
Benin,28.58,24-Dec,celsius
Bhutan,10.72,24-Dec,celsius
Bolivia,21.96,24-Dec,celsius
Bosnia and Herzegovina,11.78,24-Dec,celsius
Botswana,22.18,24-Dec,celsius
Brazil,25.92,24-Dec,celsius
Bulgaria,13.05,24-Dec,celsius
Burkina Faso,29.98,24-Dec,celsius
Burundi,20.83,24-Dec,celsius
Cambodia,27.98,24-Dec,celsius
Cameroon,25.03,24-Dec,celsius
Canada,-2.89,24-Dec,celsius
Cape Verde,23.08,24-Dec,celsius
Cayman Islands,28.64,24-Dec,celsius
Central African Republic,25.42,24-Dec,celsius
Chad,27.49,24-Dec,celsius
Chile,10.06,24-Dec,celsius
China,8.41,24-Dec,celsius
Colombia,25.32,24-Dec,celsius
Comoros,24.37,24-Dec,celsius
Congo,24.37,24-Dec,celsius
Costa Rica,25.41,24-Dec,celsius
Croatia,13.42,24-Dec,celsius
Cuba,26.69,24-Dec,celsius
Cyprus,19.87,24-Dec,celsius
Czech Republic,10.06,24-Dec,celsius
Denmark,9.56,24-Dec,celsius
Djibouti,28.6,24-Dec,celsius
Dominica,27.2,24-Dec,celsius
Dominican Republic,25.26,24-Dec,celsius
Ecuador,22.29,24-Dec,celsius
Egypt,23.95,24-Dec,celsius
El Salvador,25.86,24-Dec,celsius
Equatorial Guinea,24.76,24-Dec,celsius
Eritrea,26.87,24-Dec,celsius
Estonia,6.91,24-Dec,celsius
Ethiopia,23.75,24-Dec,celsius
Faroe Islands,6.78,24-Dec,celsius
Fiji,25.2,24-Dec,celsius
Finland,2.87,24-Dec,celsius
France,13.02,24-Dec,celsius
French Polynesia,24.71,24-Dec,celsius
Gabon,25.25,24-Dec,celsius
Gambia,29.15,24-Dec,celsius
Georgia,10.39,24-Dec,celsius
Germany,10.89,24-Dec,celsius
Ghana,28.27,24-Dec,celsius
Greece,15.71,24-Dec,celsius
Greenland,-18.47,24-Dec,celsius
Grenada,26.76,24-Dec,celsius
Guam,27.67,24-Dec,celsius
Guatemala,24.38,24-Dec,celsius
Guinea,26.59,24-Dec,celsius
Guinea Bissau,28.68,24-Dec,celsius
Guyana,26.64,24-Dec,celsius
Haiti,25.59,24-Dec,celsius
Honduras,25.4,24-Dec,celsius
Hong Kong,24.09,24-Dec,celsius
Hungary,13.1,24-Dec,celsius
Iceland,1.77,24-Dec,celsius
India,25.03,24-Dec,celsius
Indonesia,26.16,24-Dec,celsius
Iran,19.61,24-Dec,celsius
Iraq,24.06,24-Dec,celsius
Ireland,10.65,24-Dec,celsius
Isle of Man,9.92,21-Dec,celsius
Israel,21.02,24-Dec,celsius
Italy,14.39,24-Dec,celsius
Ivory Coast,27.32,24-Dec,celsius
Jamaica,26.62,24-Dec,celsius
Japan,13,24-Dec,celsius
Jordan,20.44,24-Dec,celsius
Kazakhstan,8.93,24-Dec,celsius
Kenya,25.55,24-Dec,celsius
Kiribati,27.79,24-Dec,celsius
Kuwait,27.53,24-Dec,celsius
Kyrgyzstan,4.34,24-Dec,celsius
Laos,24.93,24-Dec,celsius
Latvia,7.86,24-Dec,celsius
Lebanon,16.32,24-Dec,celsius
Lesotho,12.83,24-Dec,celsius
Liberia,25.89,24-Dec,celsius
Libya,22.95,24-Dec,celsius
Liechtenstein,9.12,24-Dec,celsius
Lithuania,8.58,24-Dec,celsius
Luxembourg,11.34,24-Dec,celsius
Macau,23.84,24-Dec,celsius
Macedonia,12.26,24-Dec,celsius
Madagascar,23.09,24-Dec,celsius
Malawi,22.94,24-Dec,celsius
Malaysia,26.78,24-Dec,celsius
Maldives,28.18,24-Dec,celsius
Mali,29.71,24-Dec,celsius
Malta,20.27,24-Dec,celsius
Marshall Islands,28.3,24-Dec,celsius
Mauritania,29.39,24-Dec,celsius
Mauritius,24.11,24-Dec,celsius
Mayotte,25.52,24-Dec,celsius
Mexico,22.23,24-Dec,celsius
Micronesia,27.68,24-Dec,celsius
Moldova,12.69,24-Dec,celsius
Monaco,14.81,24-Dec,celsius
Mongolia,1.82,24-Dec,celsius
Montenegro,11.3,24-Dec,celsius
Morocco,19.16,24-Dec,celsius
Mozambique,24.79,24-Dec,celsius
Myanmar,24.48,24-Dec,celsius
Namibia,20.53,24-Dec,celsius
Nepal,14.14,24-Dec,celsius
Netherlands,11.68,24-Dec,celsius
New Caledonia,22.68,24-Dec,celsius
New Zealand,11.2,24-Dec,celsius
Nicaragua,26.52,24-Dec,celsius
Niger,28.34,24-Dec,celsius
Nigeria,27.72,24-Dec,celsius
North Korea,8.07,24-Dec,celsius
Northern Mariana Islands,27.35,24-Dec,celsius
Norway,2.28,24-Dec,celsius
Oman,28.35,24-Dec,celsius
Pakistan,21.9,24-Dec,celsius
Palau,27.26,24-Dec,celsius
Palestine,20.45,24-Dec,celsius
Panama,26.04,24-Dec,celsius
Papua New Guinea,24.77,24-Dec,celsius
Paraguay,25.07,24-Dec,celsius
Peru,20.93,24-Dec,celsius
Philippines,26.92,24-Dec,celsius
Poland,10.25,24-Dec,celsius
Portugal,17.06,24-Dec,celsius
Puerto Rico,25.52,24-Dec,celsius
Qatar,29.11,24-Dec,celsius
Republic of the Congo,24.89,24-Dec,celsius
Romania,11.9,24-Dec,celsius
Russia,-2.82,24-Dec,celsius
Rwanda,19.51,24-Dec,celsius
Samoa,27.72,24-Dec,celsius
San Marino,13.94,24-Dec,celsius
Sao Tome and Principe,24.66,24-Dec,celsius
Saudi Arabia,26.53,24-Dec,celsius
Senegal,29.67,24-Dec,celsius
Serbia,13,24-Dec,celsius
Seychelles,27.57,24-Dec,celsius
Sierra Leone,27.22,24-Dec,celsius
Singapore,28.11,24-Dec,celsius
Slovakia,10.54,24-Dec,celsius
Slovenia,11.31,24-Dec,celsius
Solomon Islands,25.89,24-Dec,celsius
Somalia,27.1,24-Dec,celsius
South Africa,18.58,24-Dec,celsius
South Korea,13.32,24-Dec,celsius
Spain,15.16,24-Dec,celsius
Sri Lanka,27.41,24-Dec,celsius
St Kitts and Nevis,28.05,24-Dec,celsius
St Lucia,27.37,24-Dec,celsius
St Vincent and the Grenadines,26.56,24-Dec,celsius
Sudan,27.8,24-Dec,celsius
Suriname,27.11,24-Dec,celsius
Swaziland,21.06,24-Dec,celsius
Sweden,3.38,24-Dec,celsius
Switzerland,7.98,24-Dec,celsius
Syria,19.78,24-Dec,celsius
Taiwan,20.91,24-Dec,celsius
Tajikistan,5.7,24-Dec,celsius
Tanzania,23.21,24-Dec,celsius
Thailand,27.5,24-Dec,celsius
Togo,27.94,24-Dec,celsius
Tonga,25.14,24-Dec,celsius
Trinidad and Tobago,27.11,24-Dec,celsius
Tunisia,21.2,24-Dec,celsius
Turkey,12.93,24-Dec,celsius
Turkmenistan,18.3,24-Dec,celsius
Uganda,23.54,24-Dec,celsius
Ukraine,10.85,24-Dec,celsius
United Arab Emirates,28.94,24-Dec,celsius
United Kingdom,10.14,24-Dec,celsius
United States,10.25,24-Dec,celsius
Uruguay,18.93,24-Dec,celsius
Uzbekistan,15.64,24-Dec,celsius
Vanuatu,24.39,24-Dec,celsius
Venezuela,26,24-Dec,celsius
Vietnam,25.49,24-Dec,celsius
Virgin Islands,27.52,24-Dec,celsius
Yemen,25.92,24-Dec,celsius
Zambia,22.07,24-Dec,celsius
Zimbabwe,22.09,24-Dec,celsius
