region,m49_code,country,food_service_kg_per_capita_year,food_service_tonnes_year,confidence_in_estimate
Australia and New Zealand,36,Australia,58,"1,524,669",High Confidence
Australia and New Zealand,554,New Zealand,39,"204,552",Very Low Confidence
Central Asia,398,Kazakhstan,31,"595,583",Very Low Confidence
Central Asia,417,Kyrgyzstan,31,"206,441",Very Low Confidence
Central Asia,762,Tajikistan,31,"309,818",Very Low Confidence
Central Asia,795,Turkmenistan,31,"197,402",Very Low Confidence
Central Asia,860,Uzbekistan,31,"1,078,289",Very Low Confidence
Eastern Asia,156,China,46,"65,071,246",High Confidence
Eastern Asia,344,"China, Hong Kong SAR",25,"185,069",Very Low Confidence
Eastern Asia,446,"China, Macao SAR",25,"17,296",Very Low Confidence
Eastern Asia,408,Dem. People's Rep. Korea,30,"781,678",Very Low Confidence
Eastern Asia,392,Japan,12,"1,490,488",High Confidence
Eastern Asia,496,Mongolia,30,"101,945",Very Low Confidence
Eastern Asia,410,Republic of Korea,25,"1,280,410",Very Low Confidence
Eastern Europe,112,Belarus,17,"164,273",Low Confidence
Eastern Europe,100,Bulgaria,2,"13,560",Eurostat
Eastern Europe,203,Czechia,4,"41,960",Eurostat
Eastern Europe,348,Hungary,2,"19,940",Eurostat
Eastern Europe,616,Poland,5,"199,300",Eurostat
Eastern Europe,498,Republic of Moldova,17,"56,308",Low Confidence
Eastern Europe,642,Romania,12,"239,125",Low Confidence
Eastern Europe,643,Russian Federation,8,"1,220,199",Medium Confidence
Eastern Europe,703,Slovakia,1,"5,640",Eurostat
Eastern Europe,804,Ukraine,17,"692,291",Very Low Confidence
Latin America and the Caribbean,660,Anguilla,23,456,Very Low Confidence
Latin America and the Caribbean,28,Antigua and Barbuda,42,"3,824",Very Low Confidence
Latin America and the Caribbean,32,Argentina,48,"2,163,862",Very Low Confidence
Latin America and the Caribbean,533,Aruba,42,"4,674",Very Low Confidence
Latin America and the Caribbean,44,Bahamas,42,"17,421",Very Low Confidence
Latin America and the Caribbean,52,Barbados,42,"11,897",Very Low Confidence
Latin America and the Caribbean,84,Belize,48,"19,494",Very Low Confidence
Latin America and the Caribbean,68,Bolivia (Plurin. State of),48,"583,696",Very Low Confidence
Latin America and the Caribbean,535,"Bonaire, St. Eustatius & Saba",23,685,Very Low Confidence
Latin America and the Caribbean,76,Brazil,48,"10,237,337",Very Low Confidence
Latin America and the Caribbean,92,British Virgin Islands,42,"1,275",Very Low Confidence
Latin America and the Caribbean,136,Cayman Islands,42,"2,974",Very Low Confidence
Latin America and the Caribbean,152,Chile,42,"832,815",Very Low Confidence
Latin America and the Caribbean,170,Colombia,48,"2,466,261",Very Low Confidence
Latin America and the Caribbean,188,Costa Rica,48,"246,293",Very Low Confidence
Latin America and the Caribbean,192,Cuba,48,"533,001",Very Low Confidence
Latin America and the Caribbean,531,Curaçao,42,"8,073",Very Low Confidence
